COUNTRIES,WEIGHTED_WORLD_DEATH,WEIGHTED_GOUVERNANCE,WEIGHTED_EDUCATION,WEIGHTED_GDP,WEIGHTED_HCI
Nicaragua,-0.6689121920785116,-16.2367957800000000000000,2.469298150600000000000,3.5461695757647420,34.4927413038397000
Madagascar,-3.112767594894474,-13.1651611200000000000000,1.822296278000000000000,8.4182559932753600,29.2971375161806000
Mali,-5.86396578330768,-18.5439560000000000000000,2.019389612800000000000,18.7811516121266900,26.7150717161282000
Pakistan,-5.426826428131514,-21.2319338000000000000000,1.926361670400000000000,17.3675187171776354,30.4042519854252000
Eswatini,-3.190742568443368,-15.6265936600000000000000,1.247123841800000000000,10.9583992248270500,28.4244414262338000
Comoros,-4.402036722869212,-16.8214924600000000000000,0.352941176000000000000,12.0966641515030620,30.2014258644726000
Mozambique,-4.811876345750496,-15.5086607800000000000000,2.046564973400000000000,11.6418561219189100,27.5919400754728000
Cameroon,-4.661252026670914,-22.0030772200000000000000,1.751248226000000000000,15.9574516968289560,29.7673801061625000
Guinea-Bissau,-5.50620676284866,-21.1510342400000000000000,2.185212277800000000000,13.6625993359868340,30.1449102977934000
Iraq,-1.523259310809072,-30.2331010800000000000000,0.352941176000000000000,12.9004671599906460,31.3381727547774000
Lesotho,-6.732519133599838,-6.4030009800000000000000,2.444876136400000000000,-6.8892862869833218,28.7152911345660000
Libya,-0.15958751985003062,-40.5774840000000000000000,0.529411765000000000000,20.1554543960652700,30.1449102977934000
"Congo, Dem. Rep.",-5.303947042754246,-33.1225456000000000000000,1.325127646400000000000,18.8242713736531400,28.2991533703324000
Haiti,-4.015333931850108,-23.7791725400000000000000,1.555993315600000000000,2.9586506430446740,32.3395489632204000
Lebanon,0.2778112311917758,-17.1012030000000000000000,1.463345912600000000000,-10.9732591864326940,34.5890694914791000
Liberia,-5.209040962805826,-13.0830654600000000000000,1.231134629400000000000,-1.4607538369465300,26.5581550671632000
Nigeria,-7.117598014518122,-20.9472731400000000000000,0.961038773400000000000,6.4169892660922920,28.1635167330775000
Zimbabwe,-3.622343784411352,-25.3040471600000000000000,2.179698100000000000000,0.9876463375231080,32.0054571938365000
Somalia,-7.320024007911046,-43.8290168000000000000000,0.187883372600000000000,24.9665410080231200,30.1449102977934000
Angola,-4.713864422903718,-18.6216873800000000000000,1.065989637200000000000,-1.6770841624030954,28.0907804370709000
Afghanistan,-4.696364144625178,-32.1568883200000000000000,1.762084552200000000000,7.9514238014389480,29.7981995833436000
Central African Republic,-7.262810957324186,-31.9089310000000000000000,1.417662083600000000000,15.2030735969962200,24.2493846098866000
Burundi,-3.466725033713892,-29.4088863000000000000000,1.948998083600000000000,3.3490397242227140,28.1098203267702000
Syrian Arab Republic,-1.114196941692708,-42.2117386000000000000000,0.529411765000000000000,6.0171273021426400,36.1875115476206000
Sudan,-3.864449899877718,-34.5862074000000000000000,0.470588235000000000000,0.6744121108843180,28.8525840914734000
Chad,-6.789314261119934,-28.2638054000000000000000,1.801031750000000000000,-0.6123516975951602,24.9238821838476000
"Yemen, Rep.",-3.977360463900734,-41.1291274000000000000000,0.529411765000000000000,6.2582731576821860,28.3499004311634000
"Congo, Rep.",-2.81688226375487,-23.9553379200000000000000,2.157198647800000000000,-18.3663273408981960,30.9896504774889000
Equatorial Guinea,-5.253856300143316,-28.5487649600000000000000,0.352941176000000000000,-11.1312641942444660,30.1449102977934000
