Country_Name,Country Code,Year,Control_of_Corruption_Score,Government_Effectiveness_Score,Political_Stability_Score,Regulatory_Quality_Score,Rule_of_Law_Score,Free_Speech_Score,Weighted_Governance
Cuba,CUB,2020,-0.1267346,-0.1677658,0.5962209,-1.504454,-0.2780778,-1.419531,-14.6894168
Cyprus,CYP,2016,0.8266943,0.9605695,0.6042547,1.052626,0.7213519,1.04664,19.2164378
Cyprus,CYP,2017,0.7853153,0.9222018,0.5378655,1.032462,0.8882236,1.056237,18.8766536
Cyprus,CYP,2018,0.640687,0.9192417,0.491743,0.8727556,0.7535621,1.005624,17.1571552
Cyprus,CYP,2019,0.6306768,0.9921815,0.5573699,1.012434,0.7600086,1.048613,18.5812343
Cyprus,CYP,2020,0.3778925,0.8832101,0.2918284,1.002475,0.580854,0.9070898,15.6084967
Czech Republic,CZE,2016,0.5929416,1.044984,0.9761155,0.986401,1.020164,1.025371,20.3296922
Czech Republic,CZE,2017,0.6066105,1.071043,1.000036,1.235234,1.124164,0.8802063,21.0080658
Czech Republic,CZE,2018,0.5428039,0.9887083,1.031982,1.275545,1.055094,0.8127151,20.4887703
Czech Republic,CZE,2019,0.5652813,0.9553274,0.9438875,1.245235,1.052832,0.8357995,20.0658988
Czech Republic,CZE,2020,0.5850472,0.957015,0.9244586,1.241209,1.059881,0.9812194,20.8922162
Denmark,DNK,2016,2.250493,1.857509,0.8679155,1.575408,1.924276,1.541422,32.595023
Denmark,DNK,2017,2.23999,1.787519,0.8684149,1.624285,1.847278,1.517764,32.3914836
Denmark,DNK,2018,2.196509,1.851263,0.9462506,1.636302,1.815461,1.561593,33.0983384
Denmark,DNK,2019,2.161119,1.910211,0.9956252,1.565141,1.876799,1.545238,33.0093038
Denmark,DNK,2020,2.270462,1.890869,0.9430326,1.790884,1.858852,1.520361,33.9210994
Djibouti,DJI,2016,-0.6533492,-0.9740394,-0.6264004,-0.7000202,-0.9761462,-1.370006,-19.4307014
Djibouti,DJI,2017,-0.6429945,-1.02883,-0.7368587,-0.6394617,-0.9120428,-1.405831,-19.8642511
Djibouti,DJI,2018,-0.7081219,-0.8953704,-0.1376155,-0.6987826,-0.9184133,-1.367919,-17.2726573
Djibouti,DJI,2019,-0.8554918,-0.7134089,-0.3511495,-0.7714189,-0.9141684,-1.423265,-18.5666612
Djibouti,DJI,2020,-0.7413479,-0.6767254,-0.3183765,-0.8114574,-1.011851,-1.420494,-18.37848
Dominica,DMA,2016,0.6250263,0.0541444,1.002438,0.1990751,0.6063661,0.8994573,12.4207232
Dominica,DMA,2017,0.6318206,-0.2626715,1.198149,0.1290447,0.6130303,0.8848282,11.8354457
Dominica,DMA,2018,0.5402709,-0.2776328,1.096157,0.0760054,0.6639392,0.7876834,10.402338
Dominica,DMA,2019,0.5258992,-0.2623335,1.067457,0.1002118,0.6875657,0.868843,10.9363086
Dominica,DMA,2020,0.5562857,-0.1795864,1.346246,0.1959981,0.7405058,0.878063,12.9476705
Dominican Republic,DOM,2016,-0.7562392,-0.2638971,0.252106,-0.065245,-0.3952907,0.1819112,-0.9257942
Dominican Republic,DOM,2017,-0.7402246,-0.3719791,0.1605885,-0.0779919,-0.4208526,0.1592211,-1.809518
Dominican Republic,DOM,2018,-0.7541672,-0.3971497,0.0239203,-0.0690279,-0.3792768,0.1143047,-2.6426904
Dominican Republic,DOM,2019,-0.7660196,-0.358091,0.0053069,-0.0541752,-0.3475938,0.1774002,-2.1391532
Dominican Republic,DOM,2020,-0.6808228,-0.3307422,0.1674334,-0.0137688,-0.2641793,0.2215259,-0.6880065
Ecuador,ECU,2016,-0.6801937,-0.4304732,-0.085358,-1.018454,-0.7614435,-0.247168,-10.3299605
Ecuador,ECU,2017,-0.6216223,-0.3996413,-0.0748539,-1.059981,-0.8107955,-0.1721459,-9.88516
Ecuador,ECU,2018,-0.5629483,-0.2637541,-0.0892777,-0.8687586,-0.6387975,-0.0012729,-7.2644976
Ecuador,ECU,2019,-0.4865913,-0.3996101,-0.2329569,-0.8239056,-0.5774394,0.0371193,-7.5780921
Ecuador,ECU,2020,-0.5359893,-0.4388475,-0.3646331,-0.8860091,-0.5481316,0.0167155,-8.7249376
"Egypt, Arab Rep.",EGY,2016,-0.6445939,-0.6596709,-1.437697,-0.9231897,-0.5174581,-1.204502,-21.3794071
"Egypt, Arab Rep.",EGY,2017,-0.536476,-0.6207942,-1.424527,-0.8604551,-0.543798,-1.251246,-20.9869921
"Egypt, Arab Rep.",EGY,2018,-0.5604438,-0.5800367,-1.180049,-0.8642277,-0.4142864,-1.328003,-20.2846366
"Egypt, Arab Rep.",EGY,2019,-0.6697238,-0.4244061,-1.114192,-0.8277446,-0.4209398,-1.445306,-20.3009327
"Egypt, Arab Rep.",EGY,2020,-0.8136714,-0.545122,-1.207361,-0.6885961,-0.3598008,-1.488731,-20.8273201
El Salvador,SLV,2016,-0.5229223,-0.2851965,-0.0992914,0.0939717,-0.7096999,0.18895,-1.4047411
El Salvador,SLV,2017,-0.5018553,-0.321602,-0.2600434,1.28E-06,-0.8105645,0.1544337,-2.8926461
El Salvador,SLV,2018,-0.5969757,-0.447729,-0.3876885,0.0345772,-0.8254345,0.0170948,-4.6378721
El Salvador,SLV,2019,-0.5550387,-0.4654183,-0.1064181,0.02156,-0.7623366,0.1141755,-2.9014883
El Salvador,SLV,2020,-0.5919448,-0.3564937,-0.024204,-0.0192273,-0.7608628,0.0362371,-2.9897634
Equatorial Guinea,GNQ,2016,-1.805687,-1.408003,-0.1408686,-1.380239,-1.516142,-1.949172,-28.5112264
Equatorial Guinea,GNQ,2017,-1.815811,-1.438307,-0.1704531,-1.391826,-1.480927,-1.972162,-28.9013844
Equatorial Guinea,GNQ,2018,-1.705315,-1.45561,-0.0923802,-1.495596,-1.516192,-1.875924,-28.3966968
Equatorial Guinea,GNQ,2019,-1.722103,-1.3432,-0.1562198,-1.5199,-1.422766,-1.878097,-28.3895332
Equatorial Guinea,GNQ,2020,-1.685068,-1.471354,-0.1922405,-1.549407,-1.253869,-1.83182,-28.544984
Eritrea,ERI,2016,-1.306542,-1.69607,-0.6569121,-2.186823,-1.625368,-2.169759,-35.9069794
Eritrea,ERI,2017,-1.201147,-1.711882,-0.729676,-2.191784,-1.557995,-2.165504,-35.966583
Eritrea,ERI,2018,-1.30995,-1.723037,-0.6058792,-2.217407,-1.580166,-2.185477,-35.9925908
Eritrea,ERI,2019,-1.394938,-1.757077,-0.6984926,-2.275069,-1.595472,-2.206151,-37.0628004
Eritrea,ERI,2020,-1.326432,-1.616785,-0.9844248,-2.335106,-1.47162,-2.076875,-37.0493182
Estonia,EST,2016,1.272368,1.090463,0.6739078,1.698142,1.226433,1.208047,25.4771812
Estonia,EST,2017,1.245324,1.111729,0.6497754,1.645036,1.285828,1.214439,25.2225786
Estonia,EST,2018,1.50561,1.190437,0.5873927,1.55177,1.240728,1.179301,25.0074858
Estonia,EST,2019,1.561715,1.174428,0.6332563,1.591255,1.281483,1.181098,25.5040852
Estonia,EST,2020,1.61278,1.343336,0.7101202,1.535388,1.382246,1.171272,26.1828668
Eswatini,SWZ,2016,-0.4499788,-0.5785232,-0.4887168,-0.5762869,-0.3686543,-1.429628,-16.4182512
Eswatini,SWZ,2017,-0.2696787,-0.5425783,-0.2670258,-0.5596761,-0.2884077,-1.448833,-15.0149817
Eswatini,SWZ,2018,-0.3604255,-0.6700686,-0.3734438,-0.6556215,-0.2824021,-1.372091,-16.0178876
Eswatini,SWZ,2019,-0.4902496,-0.6789486,-0.2745529,-0.6122754,-0.5019525,-1.338382,-15.7091781
Eswatini,SWZ,2020,-0.4552509,-0.7685032,-0.1187483,-0.5570649,-0.5307466,-1.327599,-14.9726697
Ethiopia,ETH,2016,-0.416919,-0.6384845,-1.619813,-1.101313,-0.492503,-1.402079,-23.6400855
Ethiopia,ETH,2017,-0.5587956,-0.6928545,-1.679859,-1.004292,-0.4559003,-1.432209,-23.986205
Ethiopia,ETH,2018,-0.4833753,-0.6104851,-1.279617,-0.9730066,-0.428142,-1.165882,-20.2051409
Ethiopia,ETH,2019,-0.4061424,-0.6343808,-1.305073,-0.8888674,-0.4733813,-1.064605,-19.2410675
Ethiopia,ETH,2020,-0.3623945,-0.5520683,-1.738457,-0.9574109,-0.3977932,-1.017297,-20.6234516
Fiji,FJI,2016,0.130379,-0.2490013,0.917815,-0.3770984,-0.2745952,0.0285497,1.1962251
Fiji,FJI,2017,0.3450749,0.0698404,0.619655,-0.223414,-0.2647003,0.1228353,2.7335325
Fiji,FJI,2018,0.3971153,0.2850353,0.862233,-0.2294028,-0.1363209,0.1304683,4.5977434
Fiji,FJI,2019,0.5589681,0.1996178,0.7776704,-0.2190849,-0.0251812,0.0214153,3.8353573
Fiji,FJI,2020,0.6391488,0.3018749,0.7479544,-0.1703498,0.1097826,0.0341039,4.6383969
Finland,FIN,2016,2.233331,1.877939,0.9990865,1.817408,2.049946,1.531794,34.424575
Finland,FIN,2017,2.211039,2.018676,1.080909,1.823055,2.069357,1.559358,35.342522
Finland,FIN,2018,2.211138,2.055259,0.908359,1.78569,2.079443,1.576928,34.69095
Finland,FIN,2019,2.1532,2.006594,0.8516567,1.851164,2.058016,1.564906,34.4360808
Finland,FIN,2020,2.204168,1.948935,0.9446252,1.854752,2.078883,1.615212,35.0775568
France,FRA,2016,1.370064,1.416434,-0.0953591,1.070323,1.386726,1.136473,20.1651726
France,FRA,2017,1.266991,1.348091,0.2790776,1.15951,1.436407,1.152415,21.8430124
France,FRA,2018,1.317642,1.458658,0.0291557,1.156292,1.434449,1.146513,21.2228678
France,FRA,2019,1.283251,1.37214,0.2993822,1.440412,1.407695,1.116438,23.1888338
France,FRA,2020,1.153109,1.247808,0.3125098,1.195966,1.327411,1.06943,21.0235022
French Guiana,GUF,2016,0.9750836,1.127457,0.5509571,1.428803,1.308454,1.279368,23.6650436
French Guiana,GUF,2017,0.998673,1.379737,0.4997613,1.282006,1.199849,1.295541,23.5187272
French Guiana,GUF,2018,0.9530863,1.396483,0.5206324,1.30502,1.210485,1.271613,23.5434142
French Guiana,GUF,2019,0.9196092,1.387043,0.2612188,1.31416,1.166119,1.264411,22.3686076
French Guiana,GUF,2020,0.929781,1.320387,0.3325475,1.185055,1.197893,1.289108,22.008729
Gabon,GAB,2016,-0.7531746,-0.792168,-0.104911,-0.7979104,-0.6047214,-0.9669695,-14.6985876
Gabon,GAB,2017,-0.8207155,-0.9220088,-0.1030248,-0.7849124,-0.6835737,-1.05922,-15.7830123
Gabon,GAB,2018,-0.8539096,-0.8094349,-0.2538044,-0.9160169,-0.7040743,-0.9661632,-16.2324795
Gabon,GAB,2019,-0.9329059,-0.897824,-0.0742617,-0.9569007,-0.7327159,-1.049209,-16.668804
Gabon,GAB,2020,-0.9244228,-0.9099023,-0.0771416,-0.8784322,-0.6654624,-0.9939862,-15.9086595
"Gambia, The",GMB,2016,-0.8119048,-0.8420404,-0.4344123,-0.5093247,-0.77466,-1.262813,-16.7857415
"Gambia, The",GMB,2017,-0.6267126,-0.6464027,-0.0840129,-0.4470356,-0.4381409,-0.6222699,-9.9356232
"Gambia, The",GMB,2018,-0.4565488,-0.6198659,-0.074431,-0.6294979,-0.4305807,-0.222066,-7.9808855
"Gambia, The",GMB,2019,-0.3000943,-0.6311047,0.2247214,-0.6648403,-0.3714375,-0.2387179,-6.7225635
"Gambia, The",GMB,2020,-0.3428272,-0.6720108,0.2453408,-0.6875781,-0.3659326,-0.2009927,-6.7301029
Georgia,GEO,2016,0.6854092,0.5179425,-0.3132915,1.008661,0.3836238,0.2952145,8.8696957
Georgia,GEO,2017,0.7407625,0.5757037,-0.3707961,1.051975,0.3208365,0.2647963,8.894941
Georgia,GEO,2018,0.7094994,0.611771,-0.4415736,1.125411,0.3277741,0.2208919,8.7681979
Georgia,GEO,2019,0.7007192,0.8287399,-0.4883826,1.121732,0.3104377,0.1687202,8.8655466
Georgia,GEO,2020,0.5959197,0.787501,-0.4307931,1.108767,0.2859657,0.0554018,7.9933815
Germany,DEU,2016,1.826143,1.696212,0.6813634,1.817016,1.621759,1.364375,30.3594646
Germany,DEU,2017,1.843528,1.65318,0.5877215,1.786195,1.614979,1.432262,30.137008
Germany,DEU,2018,1.936917,1.562705,0.5912753,1.762925,1.631583,1.431259,29.9608122
Germany,DEU,2019,1.903284,1.531162,0.5743086,1.72319,1.620687,1.355591,29.0674714
Germany,DEU,2020,1.858251,1.360798,0.6710114,1.582715,1.557932,1.377576,28.2199046
Ghana,GHA,2016,-0.1489119,-0.1685113,-0.1309286,-0.2325097,0.0487039,0.5854982,1.0720725
Ghana,GHA,2017,-0.2321948,-0.1118706,0.0918345,-0.1366017,0.1233095,0.5982543,2.5971634
Ghana,GHA,2018,-0.1214553,-0.2085409,-0.0255168,-0.0945598,0.0730976,0.5498551,1.9288287
Ghana,GHA,2019,-0.0980888,-0.2106433,0.1344119,-0.111198,0.0473358,0.5579075,2.5483309
Ghana,GHA,2020,-0.1155107,-0.1526524,0.1258658,0.0001739,-0.0386941,0.5831697,3.2756782
Greece,GRC,2016,-0.1016083,0.1577258,-0.1215992,0.1483869,0.1353244,0.6685553,4.6721547
Greece,GRC,2017,-0.0790209,0.274148,-0.0735726,0.2400272,0.0749528,0.658486,5.5961166
Greece,GRC,2018,-0.0252081,0.2907973,0.1659438,0.4137779,0.13928,0.7323087,8.0877726
Greece,GRC,2019,0.0431178,0.3490244,0.1817382,0.5299369,0.1837852,0.8124003,9.5681331
Greece,GRC,2020,0.0598671,0.4444801,0.1251008,0.5500144,0.3202699,0.96592,10.8194396
Greenland,GRL,2016,1.1671,0.8425272,1.965062,1.334686,1.723742,1.279368,28.7954096
Greenland,GRL,2017,1.185811,0.8405358,1.923353,1.324179,1.726132,1.295541,28.7069144
Greenland,GRL,2018,1.174985,0.8363734,1.929881,1.368418,1.738521,1.271613,28.7889032
Greenland,GRL,2019,1.140772,0.8134989,1.883894,1.36094,1.746319,1.264411,28.3951017
Greenland,GRL,2020,1.034216,0.7990792,1.913187,1.383762,1.741479,1.289108,28.5133546
Grenada,GRD,2016,0.5639562,-0.1752158,1.018932,0.084025,0.5689524,0.8170967,10.5696506
Grenada,GRD,2017,0.4576816,-0.1874954,1.009161,-0.0537086,0.413209,0.7443076,9.0000326
Grenada,GRD,2018,0.3715164,-0.2364549,0.9854752,-0.2970077,0.2237961,0.4933713,5.6745543
Grenada,GRD,2019,0.3393368,-0.1374281,0.9535552,-0.3141913,0.1767789,0.6805683,6.7698423
Grenada,GRD,2020,0.3571173,-0.0654131,1.034534,-0.1702272,0.2926352,0.6922625,8.2512055
Guam,GUM,2016,1.228804,0.2652237,0.6752751,0.1366879,1.102981,1.361017,15.906902
Guam,GUM,2017,1.245126,0.2869365,0.699833,0.1130226,1.361758,1.2531535,15.5961855
Guam,GUM,2018,1.239041,0.2706605,0.6994919,0.083821,1.364065,1.14529,14.7429411
Guam,GUM,2019,1.234696,0.2690927,0.8925463,0.0823676,1.335337,1.114814,15.2829143
Guam,GUM,2020,1.314374,0.6968508,0.936887,0.542098,1.193629,0.929563,17.9483454
Guatemala,GTM,2016,-0.7396853,-0.6065266,-0.5425926,-0.2024315,-1.020066,-0.2903427,-9.2436005
Guatemala,GTM,2017,-0.7411317,-0.6391509,-0.6506749,-0.2546685,-1.057874,-0.2796066,-10.0112718
Guatemala,GTM,2018,-0.817149,-0.6802149,-0.5383536,-0.1895691,-1.035944,-0.3626967,-9.9883268
Guatemala,GTM,2019,-0.9007233,-0.6769783,-0.5735922,-0.2246763,-1.052349,-0.3354709,-10.3153062
Guatemala,GTM,2020,-1.095947,-0.6874367,-0.4291327,-0.1747904,-1.053237,-0.3872769,-10.2215853
Guinea,GIN,2016,-0.9188131,-1.005932,-0.3938748,-0.8676737,-1.216319,-0.7592747,-16.5412571
Guinea,GIN,2017,-1.012782,-1.034547,-0.7009969,-0.8362353,-1.226821,-0.738005,-17.7692201
Guinea,GIN,2018,-1.042321,-0.9693156,-0.8840864,-0.7780746,-1.208481,-0.7732198,-18.2671072
Guinea,GIN,2019,-0.911032,-0.7789667,-0.8432462,-0.7695868,-1.20907,-0.7684538,-17.1996757
Guinea,GIN,2020,-0.9678046,-0.8943251,-0.6370652,-0.8336266,-1.263659,-0.9223381,-18.1326659
Guinea-Bissau,GNB,2016,-1.552118,-1.642972,-0.4426939,-1.235827,-1.487089,-0.7331135,-21.8688326
Guinea-Bissau,GNB,2017,-1.558522,-1.760056,-0.4986393,-1.179392,-1.423981,-0.796982,-22.4946022
Guinea-Bissau,GNB,2018,-1.519404,-1.473266,-0.6855602,-1.20156,-1.232103,-0.6876005,-21.5663528
Guinea-Bissau,GNB,2019,-1.453402,-1.515093,-0.5580111,-1.232575,-1.264169,-0.4800229,-19.9913088
Guinea-Bissau,GNB,2020,-1.319101,-1.431687,-0.598215,-1.263349,-1.364821,-0.4710643,-19.8340748
Guyana,GUY,2016,-0.3244398,-0.3017042,-0.0260627,-0.4165162,-0.3092433,0.2535969,-2.5284859
Guyana,GUY,2017,-0.5103616,-0.2977009,-0.0430738,-0.3920297,-0.2938785,0.2777978,-2.6733613
Guyana,GUY,2018,-0.2227802,-0.2614504,-0.1877606,-0.5476355,-0.3725958,0.2156686,-3.7977157
Guyana,GUY,2019,-0.1129527,-0.3868118,-0.2464192,-0.621398,-0.4311567,0.2551636,-4.3791827
Guyana,GUY,2020,-0.1497357,-0.4381699,-0.1459536,-0.550658,-0.425237,0.2148667,-4.0871223
Haiti,HTI,2016,-1.331458,-2.078399,-0.7437881,-1.238312,-1.002219,-0.7593951,-23.623415
Haiti,HTI,2017,-1.238367,-2.057976,-0.6744812,-1.314021,-1.084979,-0.7370054,-23.4257032
Haiti,HTI,2018,-1.275526,-1.905055,-0.6397613,-1.261063,-1.052376,-0.75751,-22.7280132
Haiti,HTI,2019,-1.339134,-2.01491,-0.891515,-1.259841,-0.9713579,-0.746346,-24.0376969
Haiti,HTI,2020,-1.319874,-2.033819,-1.043329,-1.214759,-1.036246,-0.8427454,-25.0810344
Honduras,HND,2016,-0.6576432,-0.7264652,-0.4333121,-0.513028,-1.118942,-0.4381704,-11.5410348
Honduras,HND,2017,-0.7189602,-0.5083557,-0.5649181,-0.4349952,-1.044247,-0.4401779,-11.0829503
Honduras,HND,2018,-0.6142679,-0.6185808,-0.5307975,-0.4489721,-1.028927,-0.530851,-11.6663617
Honduras,HND,2019,-0.8119133,-0.6119988,-0.5751516,-0.4932474,-1.009133,-0.5727262,-12.6721566
Honduras,HND,2020,-0.8577685,-0.5959823,-0.5446041,-0.4955445,-0.9583805,-0.603004,-12.7360273
"Hong Kong SAR, China",HKG,2016,1.561693,1.841636,0.7508071,2.153887,1.722995,0.3772678,26.4075592
"Hong Kong SAR, China",HKG,2017,1.618103,1.905391,0.8294839,2.166828,1.722528,0.4282603,27.3965444
"Hong Kong SAR, China",HKG,2018,1.675505,1.902525,0.7835555,2.226014,1.7715,0.4400779,27.7348444
"Hong Kong SAR, China",HKG,2019,1.690355,1.740746,-0.222178,1.983565,1.604442,0.1269743,19.9983488
"Hong Kong SAR, China",HKG,2020,1.649827,1.662403,0.0922063,1.787972,1.590243,0.0384611,19.4165578
Hungary,HUN,2016,0.105939,0.5014192,0.6546786,0.6034219,0.4388936,0.4020373,10.2030769
Hungary,HUN,2017,0.1253053,0.527887,0.806563,0.6519235,0.5663263,0.5369374,12.1080918
Hungary,HUN,2018,0.0865242,0.4900576,0.7471759,0.57471,0.5846309,0.4784307,10.9606899
Hungary,HUN,2019,0.0600961,0.4960532,0.7721581,0.6035496,0.526654,0.3439764,10.3052446
Hungary,HUN,2020,0.0974263,0.5809025,0.863838,0.4816817,0.5128838,0.3898624,10.6533788
Iceland,ISL,2016,1.949479,1.385293,1.361624,1.276847,1.519659,1.356115,29.541917
Iceland,ISL,2017,1.841453,1.453182,1.348309,1.434839,1.611072,1.379179,30.496029
Iceland,ISL,2018,1.843773,1.464315,1.40639,1.41555,1.719837,1.377631,30.769424
Iceland,ISL,2019,1.708176,1.51794,1.639301,1.3731,1.767259,1.303974,30.983979
Iceland,ISL,2020,1.699824,1.523776,1.394177,1.448037,1.79911,1.386304,30.904803
India,IND,2016,-0.2821474,0.0749455,-0.9538398,-0.306505,-0.0289695,0.4409836,-3.0704104
India,IND,2017,-0.2419506,0.0868715,-0.7648019,-0.2529919,-0.0012233,0.3870479,-2.2263897
India,IND,2018,-0.1834787,0.2842539,-0.9870132,-0.2273288,0.0256504,0.3519836,-2.4613405
India,IND,2019,-0.2540472,0.1708809,-0.7708004,-0.1609437,-0.0304647,0.2690398,-2.2995977
India,IND,2020,-0.2448308,0.3865438,-0.8619818,-0.1377745,-0.0177096,0.1498907,-2.5851953
Indonesia,IDN,2016,-0.3992099,0.0074111,-0.3729524,-0.1223439,-0.3448857,0.1679469,-2.2169199
Indonesia,IDN,2017,-0.2548542,0.0383757,-0.4979034,-0.1051562,-0.349676,0.131601,-2.4720459
Indonesia,IDN,2018,-0.2497392,0.1805828,-0.5459081,-0.1469696,-0.315493,0.1543517,-2.2655932
Indonesia,IDN,2019,-0.4160329,0.1820512,-0.4934046,-0.0943936,-0.3424213,0.1321091,-2.2812653
Indonesia,IDN,2020,-0.3974239,0.3691624,-0.5002089,0.0776586,-0.3387444,0.0996764,-1.0405892
"Iran, Islamic Rep.",IRN,2016,-0.7112541,-0.1916113,-0.8130754,-1.229369,-0.6791943,-1.343026,-20.133839
"Iran, Islamic Rep.",IRN,2017,-0.8102323,-0.1960938,-0.934016,-1.198042,-0.6824429,-1.299892,-20.4168149
"Iran, Islamic Rep.",IRN,2018,-0.9572915,-0.4326732,-1.347935,-1.375782,-0.6935208,-1.334078,-24.1812414
"Iran, Islamic Rep.",IRN,2019,-1.047168,-0.5537257,-1.706922,-1.423213,-0.7496018,-1.38697,-26.7706879
"Iran, Islamic Rep.",IRN,2020,-1.085447,-0.9893743,-1.667853,-1.458911,-0.8671182,-1.480663,-28.8560801
Iraq,IRQ,2016,-1.386793,-1.267562,-2.313588,-1.125068,-1.6259,-1.015599,-29.175458
Iraq,IRQ,2017,-1.372427,-1.261061,-2.307103,-1.200509,-1.629295,-1.047284,-29.671993
Iraq,IRQ,2018,-1.394506,-1.30951,-2.528422,-1.167922,-1.753651,-1.004161,-30.449457
Iraq,IRQ,2019,-1.336654,-1.336643,-2.603781,-1.180387,-1.722623,-0.9644449,-30.5095884
Iraq,IRQ,2020,-1.283775,-1.32672,-2.528343,-1.376893,-1.753684,-1.009963,-31.359009
Ireland,IRL,2016,1.692659,1.364627,0.8478189,1.740965,1.502176,1.291039,28.8237096
Ireland,IRL,2017,1.573725,1.306135,1.002435,1.588018,1.418789,1.294556,28.20181
Ireland,IRL,2018,1.571588,1.416743,1.021112,1.627818,1.450442,1.284349,28.773479
Ireland,IRL,2019,1.494599,1.291792,0.9663891,1.602042,1.383474,1.305089,27.9543484
Ireland,IRL,2020,1.566898,1.480219,0.9751874,1.473795,1.498885,1.39423,28.7084426
Israel,ISR,2016,1.186837,1.345055,-0.7945364,1.31263,1.072231,0.7866638,15.5860572
Israel,ISR,2017,0.8293291,1.388274,-0.887956,1.274343,1.024877,0.6972239,13.8515916
Israel,ISR,2018,0.7872222,1.206716,-0.9116703,1.24631,0.9940096,0.6214112,12.501938
Israel,ISR,2019,0.8063501,1.325325,-0.7933716,1.281105,1.047764,0.6601397,13.829316
Israel,ISR,2020,0.5657755,1.096137,-0.8282074,1.24164,0.9973904,0.6552317,12.244113
Italy,ITA,2016,0.1159535,0.5785035,0.3694153,0.7105919,0.3939919,1.034976,13.6018861
Italy,ITA,2017,0.2109731,0.527819,0.3068212,0.7062215,0.3488251,0.9906023,13.0562344
Italy,ITA,2018,0.2476841,0.4415723,0.3423838,0.7260119,0.2688292,0.9533946,12.8088766
Italy,ITA,2019,0.2645699,0.4831744,0.4043851,0.9550502,0.3032814,0.9066437,14.114598
Italy,ITA,2020,0.5389154,0.4003631,0.4400665,0.5030249,0.2409934,1.057024,13.137448
Jamaica,JAM,2016,-0.1589583,0.4119149,0.3076839,0.1638434,-0.203386,0.6813211,6.8523213
Jamaica,JAM,2017,-0.1753761,0.4723314,0.3092474,0.1452674,-0.161473,0.6911505,7.0149986
Jamaica,JAM,2018,-0.1802417,0.5039046,0.432927,0.2019037,-0.2317268,0.5843438,7.1667929
Jamaica,JAM,2019,-0.0727176,0.4939841,0.3973095,0.1675474,-0.3124554,0.6142891,7.1367713
Jamaica,JAM,2020,-0.0074757,0.4144205,0.2707812,0.0893666,-0.2373807,0.6265474,6.2801716
Japan,JPN,2016,1.524966,1.821532,0.9829442,1.428122,1.421093,0.9836274,26.9097722
Japan,JPN,2017,1.525538,1.619905,1.112167,1.376554,1.57062,1.003693,26.835007
Japan,JPN,2018,1.425326,1.674601,1.049072,1.342974,1.53421,0.9844933,26.2267828
Japan,JPN,2019,1.4672,1.586322,1.031847,1.32707,1.538249,0.9313421,25.5824056
Japan,JPN,2020,1.49587,1.596166,1.038876,1.353819,1.525137,0.9876988,26.1561668
"Jersey, Channel Islands",JEY,2016,1.140734,1.268496,1.318669,0.6987037,1.723742,1.279368,24.2551005
"Jersey, Channel Islands",JEY,2017,1.169131,1.265191,1.273878,0.6827301,1.726132,1.295541,24.1423755
"Jersey, Channel Islands",JEY,2018,1.102882,1.25849,1.264784,0.7143798,1.738521,1.271613,23.980468
"Jersey, Channel Islands",JEY,2019,1.044043,1.237183,1.280697,0.9228272,1.746319,1.264411,24.869344
"Jersey, Channel Islands",JEY,2020,1.034216,1.221135,1.336372,0.9422368,1.741479,1.289108,25.264636
Jordan,JOR,2016,0.2653728,0.1335435,-0.4923984,0.0516795,0.3042523,-0.7111135,-4.7422487
Jordan,JOR,2017,0.2495352,0.0935696,-0.4516253,0.0671736,0.2985938,-0.7210127,-4.7183364
Jordan,JOR,2018,0.1505628,0.114904,-0.3888326,0.0274591,0.2318894,-0.7238086,-4.8831595
Jordan,JOR,2019,0.1082933,0.098672,-0.2619681,0.034222,0.1442419,-0.6945903,-4.3874597
Jordan,JOR,2020,0.0704442,0.1147702,-0.3221407,0.2255307,0.2124759,-0.7505696,-3.966652
Kazakhstan,KAZ,2016,-0.8165768,-0.0672612,0.0084575,-0.0997007,-0.4352354,-1.205579,-9.9683201
Kazakhstan,KAZ,2017,-0.820714,0.0036757,0.0288013,0.1709108,-0.4140919,-1.247189,-8.5578676
Kazakhstan,KAZ,2018,-0.4953896,0.0217261,-0.0452636,0.1237323,-0.4295568,-1.211343,-8.1856086
Kazakhstan,KAZ,2019,-0.30519,0.1240962,-0.1684883,0.1369649,-0.4321694,-1.230227,-8.0407515
Kazakhstan,KAZ,2020,-0.3914681,0.1555083,-0.2600716,0.1395519,-0.3961428,-1.18816,-8.184041
Kenya,KEN,2016,-0.8926454,-0.3251143,-1.354791,-0.3003297,-0.4406989,-0.1130232,-10.8002843
Kenya,KEN,2017,-0.9550214,-0.3195153,-1.131922,-0.2316267,-0.4156587,-0.1977406,-10.1565125
Kenya,KEN,2018,-0.8510734,-0.4115029,-1.184091,-0.2248414,-0.411006,-0.3804235,-11.4907735
Kenya,KEN,2019,-0.7865493,-0.3833902,-1.101751,-0.2769634,-0.4542259,-0.3126482,-10.8452053
Kenya,KEN,2020,-0.8553775,-0.3543688,-1.003641,-0.4419633,-0.5577266,-0.3399551,-11.5956991
Kiribati,KIR,2016,0.2496047,-0.4339803,0.8732361,-0.8390459,0.2362976,1.004908,4.760729
Kiribati,KIR,2017,0.3631015,-0.2675972,0.8814256,-0.8283504,0.4754284,1.047755,6.0693202
Kiribati,KIR,2018,0.3398819,-0.2469959,1.023675,-0.7787298,0.4763226,1.112811,7.2930157
