Year,Country_Name,Country_Code,Compulsory_education_duration_year,Government_expenditure_on_education_on_gdp,Government_expenditure_on_education_total_of_goverment_expenditure,Weighted_education
2016,Djibouti,DJI,10,3.92439007759094,12.0085096359253,1.93666141826007
2017,Djibouti,DJI,10,3.74855995178223,13.2546997070313,1.99029294652564
2018,Djibouti,DJI,10,3.62773990631104,13.991530418396,2.01950840999316
2019,Djibouti,DJI,10,3.47941482067109,14.9830408096313,2.0609319058597
2020,Djibouti,DJI,10,3.33108973503114,15.9745512008667,2.10235540172625
2016,Dominica,DMA,12,5.12972021102905,12.6981000900269,2.27678698324434
2017,Dominica,DMA,12,4.7667498588562,9.78390979766846,2.03678996072865
2018,Dominica,DMA,12,5.57154989242554,8.44583988189697,2.07037893109088
2019,Dominica,DMA,12,5.57160997390747,8.29829978942871,2.06095711295249
2020,Dominica,DMA,12,4.99812984466553,10.6661701202393,2.12743013072461
2016,Dominican Republic,DOM,15,3.85050010681152,21.9451999664307,2.85499240598029
2017,Dominican Republic,DOM,15,3.92026996612549,22.343599319458,2.89078454372872
2018,Dominican Republic,DOM,15,3.92848992347717,22.1554698944092,2.87997600765102
2019,Dominican Republic,DOM,15,4.04276990890503,22.3415107727051,2.90878218121403
2020,Dominican Republic,DOM,15,4.1068598429362,19.3228797912598,2.72531826113618
2016,Early-demographic dividend,EAR,10,3.9921749830246,16.9546356201172,2.26284884921584
2017,Early-demographic dividend,EAR,10,4.35768985748291,17.1334352493286,2.32837727680225
2018,Early-demographic dividend,EAR,10,3.97974491119385,15.3999996185303,2.16163729657953
2019,Early-demographic dividend,EAR,10,3.56645500659943,14.4634799957275,2.0406045227479
2020,Early-demographic dividend,EAR,10,3.42454834779104,13.6330947875976,1.96652308059192
2016,East Asia & Pacific,EAS,9,4.06335997581482,16.2182998657226,2.16749504202755
2017,East Asia & Pacific,EAS,9,4.08553981781006,15.0934200286865,2.09887594288435
2018,East Asia & Pacific,EAS,9,3.43450498580933,14.9436450004578,1.9929431348217
2019,East Asia & Pacific,EAS,9,3.12007749080658,14.3063175678254,1.90566718121877
2020,East Asia & Pacific,EAS,9,2.80564999580384,13.668990135193,1.81839122761584
2016,East Asia & Pacific (IDA & IBRD countries),TEA,9,3.79362010955811,15.6049003601074,2.08836273988761
2017,East Asia & Pacific (IDA & IBRD countries),TEA,9,3.87649488449097,13.8695201873779,1.98970409170356
2018,East Asia & Pacific (IDA & IBRD countries),TEA,9,3.1331000328064,14.4872903823853,1.91916235775245
2019,East Asia & Pacific (IDA & IBRD countries),TEA,9,3.23436999320984,16.3442122936248,2.05284505327629
2020,East Asia & Pacific (IDA & IBRD countries),TEA,9,3.04795328776041,16.5906496047973,2.04100582440584
2016,East Asia & Pacific (excluding high income),EAP,9,3.79362010955811,15.6049003601074,2.08836273988761
2017,East Asia & Pacific (excluding high income),EAP,9,3.87649488449097,13.8695201873779,1.98970409170356
2018,East Asia & Pacific (excluding high income),EAP,9,3.1331000328064,14.4872903823853,1.91916235775245
2019,East Asia & Pacific (excluding high income),EAP,9,3.23436999320984,13.9284853935242,1.89843264043784
2020,East Asia & Pacific (excluding high income),EAP,9,3.04795328776041,13.3696804046632,1.83512260728792
2016,Ecuador,ECU,15,4.36275005340576,12.0713901519776,2.29967973996444
2017,Ecuador,ECU,15,4.61426019668579,11.9204301834107,2.32725628424619
2018,Ecuador,ECU,15,4.6214599609375,11.7694702148438,2.31867260862331
2019,Ecuador,ECU,15,4.22565984725952,11.6185102462769,2.25044118383219
2020,Ecuador,ECU,15,4.13413000106812,11.46755027771,2.22724460294135
2016,El Salvador,SLV,15,3.82523989677429,13.9743499755859,2.34175973401152
2017,El Salvador,SLV,15,3.7252299785614,13.4645204544067,2.29436920775067
2018,El Salvador,SLV,15,3.60575008392334,13.2915000915527,2.26562566577822
2019,El Salvador,SLV,15,3.38515996932983,12.51881980896,2.18358681515621
2020,El Salvador,SLV,15,3.23846666018167,13.0928897857666,2.1985691848945
2016,Estonia,EST,9,5.11445999145508,13.1083097457886,2.1242781966148
2017,Estonia,EST,9,4.95629978179932,12.7503004074097,2.07798517625895
2018,Estonia,EST,9,5.23887014389038,13.3928499221802,2.16087977004261
2019,Estonia,EST,9,5.30107522010803,13.535120010376,2.17918055675651
2020,Estonia,EST,9,5.36328029632568,13.6773900985718,2.19748134347041
2016,Ethiopia,ETH,8,5.06151008605957,23.0133590698242,2.69074485129631
2017,Ethiopia,ETH,8,5.64951992034912,26.5099201202393,3.00127475462271
2018,Ethiopia,ETH,8,5.06867980957031,24.0015506744385,2.75497089680724
2019,Ethiopia,ETH,8,5.07226467132568,24.4956464767456,2.78708391956271
2020,Ethiopia,ETH,8,5.07584953308104,24.9897422790528,2.81919694231817
2016,Euro area,EMU,10,4.8159499168396,12.0950951576233,2.07415512481087
2017,Euro area,EMU,10,4.88274002075195,11.0554304122925,2.01758568010343
2018,Euro area,EMU,10,4.80559992790222,11.1888446807861,2.01469601832248
2019,Euro area,EMU,10,4.80042493343353,10.7357194423675,1.98496646507828
2020,Euro area,EMU,11,4.79524993896484,10.2825942039489,2.01406044124584
2016,Europe & Central Asia,ECS,10,4.83923006057739,12.3531198501587,2.09409365119863
2017,Europe & Central Asia,ECS,10,4.78077983856201,11.9676303863525,2.06080212115937
2018,Europe & Central Asia,ECS,10,4.67819976806641,11.7471752166748,2.03152789498959
2019,Europe & Central Asia,ECS,10,4.59768462181092,11.4442028999328,2.00024501688507
2020,Europe & Central Asia,ECS,10,4.51716947555543,11.1412305831908,1.96896213878056
2016,Europe & Central Asia (IDA & IBRD countries),TEC,10,3.96209001541138,12.3531198501587,1.96426872502679
2017,Europe & Central Asia (IDA & IBRD countries),TEC,10,4.09102010726929,12.3908004760742,1.9857601161982
2018,Europe & Central Asia (IDA & IBRD countries),TEC,10,4.61579990386963,12.85116481781,2.09285875834802
2019,Europe & Central Asia (IDA & IBRD countries),TEC,10,3.94576001167297,13.1001873016356,2.009604020265
2020,Europe & Central Asia (IDA & IBRD countries),TEC,10,3.9403166770935,13.3492097854613,2.0247157853444
2016,Europe & Central Asia (excluding high income),ECA,10,3.86126506328583,12.5096597671509,1.95935166597655
2017,Europe & Central Asia (excluding high income),ECA,10,4.09102010726929,12.7309503555298,2.0075023767208
2018,Europe & Central Asia (excluding high income),ECA,10,4.48639988899231,12.9514999389648,2.08011973213209
2019,Europe & Central Asia (excluding high income),ECA,10,3.94576001167297,13.772500038147,2.05257801365076
2020,Europe & Central Asia (excluding high income),ECA,10,3.97392499446868,14.1934467951456,2.0836534628755
2016,European Union,EUU,10,4.79266977310181,12.025239944458,2.06624432528698
2017,European Union,EUU,10,4.61972999572754,11.0554304122925,1.97865773778747
2018,European Union,EUU,10,4.62730979919434,11.1235504150391,1.98413382614582
2019,European Union,EUU,10,4.5446298122406,10.6727056503296,1.94307857657524
2020,European Union,EUU,10,4.46194982528687,10.2218608856202,1.90202332700467
2016,Faroe Islands,FRO,9,7.71989011764526,16.2498092651367,2.71070975390329
2017,Faroe Islands,FRO,9,8.23338031768799,17.250919342041,2.85070170721443
2018,Faroe Islands,FRO,9,8.74687051773072,17.3672103881836,2.93413633963819
2019,Faroe Islands,FRO,9,9.26036071777345,15.4116296768188,2.88513765886117
2020,Faroe Islands,FRO,9,9.77385091781618,15.1322364807128,2.94328029384713
2016,Finland,FIN,10,6.85153007507324,12.312310218811,2.38932432701752
2017,Finland,FIN,10,6.36311006546021,11.8638696670532,2.28836943768921
2018,Finland,FIN,10,6.26929998397827,11.7516202926636,2.26730972820896
2019,Finland,FIN,10,5.97818493843078,11.4712753295899,2.20630242880469
2020,Finland,FIN,10,5.68706989288329,11.1909303665162,2.14529512940041
2016,Fragile and conflict affected situations,FCS,9,2.83076500892639,12.8473448753357,1.76958920863694
2017,Fragile and conflict affected situations,FCS,9,2.70759010314941,14.503210067749,1.85720049118794
2018,Fragile and conflict affected situations,FCS,9,3.13120007514954,13.1701002120972,1.83468681437733
2019,Fragile and conflict affected situations,FCS,9,3.28141760826111,13.3314778804779,1.86723561724753
2020,Fragile and conflict affected situations,FCS,9,3.43163514137269,13.4928555488587,1.89978442011773
2016,France,FRA,10,5.4900302886963,9.58002948760987,2.01316320910274
2017,France,FRA,10,5.45160007476807,9.65242958068848,2.01210296665286
2018,France,FRA,10,5.41316986083984,9.72482967376709,2.01104272420298
2019,France,FRA,10,5.37473964691161,9.7972297668457,2.0099824817531
2020,France,FRA,13,5.33630943298338,9.86962985992431,2.18539282753852
2016,Gabon,GAB,10,2.76999998092651,10.2796401977539,1.65529216701324
2017,Gabon,GAB,10,3.32680988311768,16.0584392547607,2.10708403850167
2018,Gabon,GAB,10,2.93345999717712,14.6950798034668,1.96171912228966
2019,Gabon,GAB,10,2.76782989501953,14.1593904495239,1.90296324398425
2020,Gabon,GAB,10,2.76710653305053,15.025520324707,1.95821889629443
2016,"Gambia, The",GMB,9,2.0244300365448,10.3577899932861,1.49111262367296
2017,"Gambia, The",GMB,9,2.45918989181519,10.7730298042297,1.5820031288822
2018,"Gambia, The",GMB,9,2.36543989181519,11.1882696151733,1.59466923501206
2019,"Gambia, The",GMB,9,2.87529993057251,11.6035094261169,1.69667526941235
2020,"Gambia, The",GMB,9,3.15892322858174,12.0187492370605,1.76519615132548
2016,Georgia,GEO,9,3.59386992454529,12.6661996841431,1.87095713280082
2017,Georgia,GEO,9,3.57442998886108,12.9533596038818,1.88643500155154
2018,Georgia,GEO,9,3.5210599899292,12.9514999389648,1.87841687368128
2019,Georgia,GEO,9,3.80864000320435,11.5451822280883,1.83109007104579
2020,Georgia,GEO,9,3.83912992477417,11.1715097427368,1.81171785076966
