Year,Country_Name,Country_Code,Compulsory_education_duration_years,Government_expenditure_on_education_total,"Government expenditure on education, total (% of government expenditure)",Weighted World Education
2018,Dominican Republic,DOM,15,3.928489923,22.15546989,2.879976008
2019,Dominican Republic,DOM,15,4.042769909,22.34151077,2.908782181
2020,Dominican Republic,DOM,15,4.106859843,19.32287979,2.725318261
2016,Early-demographic dividend,EAR,10,3.992174983,16.95463562,2.262848849
2017,Early-demographic dividend,EAR,10,4.357689857,17.13343525,2.328377277
2018,Early-demographic dividend,EAR,10,3.979744911,15.39999962,2.161637297
2019,Early-demographic dividend,EAR,10,3.566455007,14.46348,2.040604523
2020,Early-demographic dividend,EAR,10,3.424548348,13.63309479,1.966523081
2016,East Asia & Pacific,EAS,9,4.063359976,16.21829987,2.167495042
2017,East Asia & Pacific,EAS,9,4.085539818,15.09342003,2.098875943
2018,East Asia & Pacific,EAS,9,3.434504986,14.943645,1.992943135
2019,East Asia & Pacific,EAS,9,3.120077491,14.30631757,1.905667181
2020,East Asia & Pacific,EAS,9,2.805649996,13.66899014,1.818391228
2016,East Asia & Pacific (IDA & IBRD countries),TEA,9,3.79362011,15.60490036,2.08836274
2017,East Asia & Pacific (IDA & IBRD countries),TEA,9,3.876494884,13.86952019,1.989704092
2018,East Asia & Pacific (IDA & IBRD countries),TEA,9,3.133100033,14.48729038,1.919162358
2019,East Asia & Pacific (IDA & IBRD countries),TEA,9,3.234369993,16.34421229,2.052845053
2020,East Asia & Pacific (IDA & IBRD countries),TEA,9,3.047953288,16.5906496,2.041005824
2016,East Asia & Pacific (excluding high income),EAP,9,3.79362011,15.60490036,2.08836274
2017,East Asia & Pacific (excluding high income),EAP,9,3.876494884,13.86952019,1.989704092
2018,East Asia & Pacific (excluding high income),EAP,9,3.133100033,14.48729038,1.919162358
2019,East Asia & Pacific (excluding high income),EAP,9,3.234369993,13.92848539,1.89843264
2020,East Asia & Pacific (excluding high income),EAP,9,3.047953288,13.3696804,1.835122607
2016,Ecuador,ECU,15,4.362750053,12.07139015,2.29967974
2017,Ecuador,ECU,15,4.614260197,11.92043018,2.327256284
2018,Ecuador,ECU,15,4.621459961,11.76947021,2.318672609
2019,Ecuador,ECU,15,4.225659847,11.61851025,2.250441184
2020,Ecuador,ECU,15,4.134130001,11.46755028,2.227244603
2016,"Egypt, Arab Rep.",EGY,12,0,0,0.705882353
2017,"Egypt, Arab Rep.",EGY,12,0,0,0.705882353
2018,"Egypt, Arab Rep.",EGY,12,0,0,0.705882353
2019,"Egypt, Arab Rep.",EGY,12,0,0,0.705882353
2020,"Egypt, Arab Rep.",EGY,12,0,0,0.705882353
2016,El Salvador,SLV,15,3.825239897,13.97434998,2.341759734
2017,El Salvador,SLV,15,3.725229979,13.46452045,2.294369208
2018,El Salvador,SLV,15,3.605750084,13.29150009,2.265625666
2019,El Salvador,SLV,15,3.385159969,12.51881981,2.183586815
2020,El Salvador,SLV,15,3.23846666,13.09288979,2.198569185
2016,Equatorial Guinea,GNQ,6,0,0,0.352941176
2017,Equatorial Guinea,GNQ,6,0,0,0.352941176
2018,Equatorial Guinea,GNQ,6,0,0,0.352941176
2019,Equatorial Guinea,GNQ,6,0,0,0.352941176
2020,Equatorial Guinea,GNQ,6,0,0,0.352941176
2016,Eritrea,ERI,8,0,0,0.470588235
2017,Eritrea,ERI,8,0,0,0.470588235
2018,Eritrea,ERI,8,0,0,0.470588235
2019,Eritrea,ERI,8,0,0,0.470588235
2020,Eritrea,ERI,8,0,0,0.470588235
2016,Estonia,EST,9,5.114459991,13.10830975,2.124278197
2017,Estonia,EST,9,4.956299782,12.75030041,2.077985176
2018,Estonia,EST,9,5.238870144,13.39284992,2.16087977
2019,Estonia,EST,9,5.30107522,13.53512001,2.179180557
2020,Estonia,EST,9,5.363280296,13.6773901,2.197481343
2016,Eswatini,SWZ,7,5.414669991,0,1.213186481
2017,Eswatini,SWZ,7,6.138090134,0,1.320259424
2018,Eswatini,SWZ,7,5.679160118,0,1.252333492
2019,Eswatini,SWZ,7,5.645549774,0,1.247358847
2020,Eswatini,SWZ,7,5.342339993,0,1.202480965
2016,Ethiopia,ETH,8,5.061510086,23.01335907,2.690744851
2017,Ethiopia,ETH,8,5.64951992,26.50992012,3.001274755
2018,Ethiopia,ETH,8,5.06867981,24.00155067,2.754970897
2019,Ethiopia,ETH,8,5.072264671,24.49564648,2.78708392
2020,Ethiopia,ETH,8,5.075849533,24.98974228,2.819196942
2016,Euro area,EMU,10,4.815949917,12.09509516,2.074155125
2017,Euro area,EMU,10,4.882740021,11.05543041,2.01758568
2018,Euro area,EMU,10,4.805599928,11.18884468,2.014696018
2019,Euro area,EMU,10,4.800424933,10.73571944,1.984966465
2020,Euro area,EMU,11,4.795249939,10.2825942,2.014060441
2016,Europe & Central Asia,ECS,10,4.839230061,12.35311985,2.094093651
2017,Europe & Central Asia,ECS,10,4.780779839,11.96763039,2.060802121
2018,Europe & Central Asia,ECS,10,4.678199768,11.74717522,2.031527895
2019,Europe & Central Asia,ECS,10,4.597684622,11.4442029,2.000245017
2020,Europe & Central Asia,ECS,10,4.517169476,11.14123058,1.968962139
2016,Europe & Central Asia (IDA & IBRD countries),TEC,10,3.962090015,12.35311985,1.964268725
2017,Europe & Central Asia (IDA & IBRD countries),TEC,10,4.091020107,12.39080048,1.985760116
2018,Europe & Central Asia (IDA & IBRD countries),TEC,10,4.615799904,12.85116482,2.092858758
2019,Europe & Central Asia (IDA & IBRD countries),TEC,10,3.945760012,13.1001873,2.00960402
2020,Europe & Central Asia (IDA & IBRD countries),TEC,10,3.940316677,13.34920979,2.024715785
2016,Europe & Central Asia (excluding high income),ECA,10,3.861265063,12.50965977,1.959351666
2017,Europe & Central Asia (excluding high income),ECA,10,4.091020107,12.73095036,2.007502377
2018,Europe & Central Asia (excluding high income),ECA,10,4.486399889,12.95149994,2.080119732
2019,Europe & Central Asia (excluding high income),ECA,10,3.945760012,13.77250004,2.052578014
2020,Europe & Central Asia (excluding high income),ECA,10,3.973924994,14.1934468,2.083653463
2016,European Union,EUU,10,4.792669773,12.02523994,2.066244325
2017,European Union,EUU,10,4.619729996,11.05543041,1.978657738
2018,European Union,EUU,10,4.627309799,11.12355042,1.984133826
2019,European Union,EUU,10,4.544629812,10.67270565,1.943078577
2020,European Union,EUU,10,4.461949825,10.22186089,1.902023327
2016,Faroe Islands,FRO,9,7.719890118,16.24980927,2.710709754
2017,Faroe Islands,FRO,9,8.233380318,17.25091934,2.850701707
2018,Faroe Islands,FRO,9,8.746870518,17.36721039,2.93413634
2019,Faroe Islands,FRO,9,9.260360718,15.41162968,2.885137659
2020,Faroe Islands,FRO,9,9.773850918,15.13223648,2.943280294
2016,Fiji,FJI,0,4.83589983,15.1698904,1.685412434
2017,Fiji,FJI,0,4.651189804,16.81719017,1.763368444
2018,Fiji,FJI,0,4.835710049,14.93480968,1.670358068
2019,Fiji,FJI,0,5.067880154,16.83370018,1.826097825
2020,Fiji,FJI,0,5.145206928,16.39175034,1.809293632
2016,Finland,FIN,10,6.851530075,12.31231022,2.389324327
2017,Finland,FIN,10,6.363110065,11.86386967,2.288369438
2018,Finland,FIN,10,6.269299984,11.75162029,2.267309728
2019,Finland,FIN,10,5.978184938,11.47127533,2.206302429
2020,Finland,FIN,10,5.687069893,11.19093037,2.145295129
2016,Fragile and conflict affected situations,FCS,9,2.830765009,12.84734488,1.769589209
2017,Fragile and conflict affected situations,FCS,9,2.707590103,14.50321007,1.857200491
2018,Fragile and conflict affected situations,FCS,9,3.131200075,13.17010021,1.834686814
2019,Fragile and conflict affected situations,FCS,9,3.281417608,13.33147788,1.867235617
2020,Fragile and conflict affected situations,FCS,9,3.431635141,13.49285555,1.89978442
2016,France,FRA,10,5.490030289,9.580029488,2.013163209
