Year,Country_Name,Country_Code,Current_GDP,GDP_growth_annual,GDP_per_capita,Land_area,Weighted_gdp
2017,Chile,CHL,2.77035E+11,1.184544707,14998.81706,743532,29.94526064
2018,Chile,CHL,2.97572E+11,3.713859177,15888.14436,743532,41.49397267
2019,Chile,CHL,2.79385E+11,0.942005307,14741.7144,743532,28.57073732
2020,Chile,CHL,2.5294E+11,-5.771501669,13231.70421,743532,-0.704170091
2016,China,CHN,1.12333E+13,6.848762205,8094.363367,9424700.5,67.54264435
2017,China,CHN,1.23104E+13,6.947200793,8816.986905,9424700.8,70.31052407
2018,China,CHN,1.38948E+13,6.749773832,9905.342004,9424702.9,73.0532709
2019,China,CHN,1.42799E+13,5.949714233,10143.83817,9424702.9,70.67041959
2020,China,CHN,1.47227E+13,2.347513573,10434.77519,9424702.9,57.22789062
2016,Colombia,COL,2.82825E+11,2.087382502,5870.777957,1109500,19.67473806
2017,Colombia,COL,3.11884E+11,1.359360868,6376.706716,1109500,17.59683263
2018,Colombia,COL,3.34198E+11,2.564324283,6729.583332,1109500,23.00085035
2019,Colombia,COL,3.2343E+11,3.281116805,6424.979492,1109500,25.3734682
2020,Colombia,COL,2.71438E+11,-6.795758107,5334.556042,1109500,-16.71978616
2016,Comoros,COM,1012835518,3.320680025,1273.050952,1861,15.30226155
2017,Comoros,COM,1077439663,3.815702113,1323.814843,1861,17.36279413
2018,Comoros,COM,1188797575,3.642525019,1428.290463,1861,16.8356209
2019,Comoros,COM,1192559739,1.75532828,1401.542312,1861,9.244490012
2020,Comoros,COM,1235400352,-0.128835488,1420.661747,1861,1.738154154
2016,"Congo, Dem. Rep.",COD,37134799975,2.399398914,471.3188225,2267050,13.87513731
2017,"Congo, Dem. Rep.",COD,38019265626,3.726947653,467.0742317,2267050,19.17962217
2018,"Congo, Dem. Rep.",COD,47146004587,5.8211211,560.8073582,2267050,27.71513865
2019,"Congo, Dem. Rep.",COD,50400747050,4.384528881,580.7168706,2267050,22.00400775
2020,"Congo, Dem. Rep.",COD,48716960860,1.735422764,543.9503925,2267050,11.34745099
2016,"Congo, Rep.",COG,10215989995,-10.78323827,2050.993415,341500,-39.34855128
2017,"Congo, Rep.",COG,11090177747,-4.382530947,2169.991504,341500,-13.55632345
2018,"Congo, Rep.",COG,13670036996,-4.805351557,2606.615331,341500,-14.55338783
2019,"Congo, Rep.",COG,12750339023,-0.086885957,2369.729494,341500,3.944381716
2020,"Congo, Rep.",COG,10187122341,-7.944445679,1846.131297,341500,-28.31775586
2016,Costa Rica,CRI,58847016045,4.204323252,12011.22275,51060,35.9794927
2017,Costa Rica,CRI,60516043590,4.157698963,12225.57449,51060,36.13426766
2018,Costa Rica,CRI,62420165100,2.615904404,12485.4239,51060,30.38066286
2019,Costa Rica,CRI,64072870932,2.256315079,12693.82796,51060,29.27414255
2020,Costa Rica,CRI,61846895121,-4.063676535,12140.85415,51060,3.116154451
2016,Cote d'Ivoire,CIV,47964234560,7.179207824,2013.381448,318000,32.44862645
2017,Cote d'Ivoire,CIV,51588158718,7.359638088,2111.026557,318000,33.32907969
2018,Cote d'Ivoire,CIV,58011466451,6.89028432,2314.050958,318000,31.78043229
2019,Cote d'Ivoire,CIV,58539424930,6.231709513,2276.332394,318000,29.08701916
2020,Cote d'Ivoire,CIV,61348579465,1.958332479,2325.723705,318000,12.07491635
2016,Croatia,HRV,52295158344,3.532432232,12527.73986,56590,34.11071777
2017,Croatia,HRV,56214427431,3.41409226,13629.28959,56590,35.38583006
2018,Croatia,HRV,62247874949,2.900009599,15227.5601,56590,35.8668046
2019,Croatia,HRV,62246206341,3.481945603,15311.7669,56590,38.32786468
2020,Croatia,HRV,57203783203,-8.099761252,14134.16268,56590,-9.869128577
2016,Cuba,CUB,91370000000,0.513761468,8060.796598,104040,15.08152368
2017,Cuba,CUB,96851000000,1.809054399,8541.213686,103800,21.02919153
2018,Cuba,CUB,1.0005E+11,2.248480393,8824.194008,103800,23.238569
2019,Cuba,CUB,1.03428E+11,-0.164839982,9125.878679,103800,14.06677853
2020,Cuba,CUB,1.07352E+11,-10.94834097,9477.852873,103800,-28.50549147
2016,Curacao,CUW,3122287933,-0.986569701,19555.36585,444,27.01843278
2017,Curacao,CUW,3116610112,-1.73976542,19457.53152,444,23.85075007
2018,Curacao,CUW,3127908045,-2.166131078,19630.89349,444,22.41977062
2019,Curacao,CUW,3101787709,-3.399999927,19701.27038,444,17.59568755
2020,Curacao,CUW,2595821709,-18.4,16745.72431,444,-47.08417265
2016,Cyprus,CYP,20953442550,6.454554466,24605.92083,9240,64.81297279
2017,Cyprus,CYP,22870833710,5.852540355,26608.87509,9240,65.57822487
2018,Cyprus,CYP,25522671233,5.692841724,29334.11093,9240,69.25710884
2019,Cyprus,CYP,25758357775,5.283187396,29206.07672,9240,67.41605424
2020,Cyprus,CYP,24612646488,-5.2289881,27527.84531,9240,22.70903294
2016,Czech Republic,CZE,1.96272E+11,2.53728452,18575.23203,77220,39.90080876
2017,Czech Republic,CZE,2.18629E+11,5.168724304,20636.19995,77210,53.71505073
2018,Czech Republic,CZE,2.4895E+11,3.198656101,23419.73561,77200,50.27634002
2019,Czech Republic,CZE,2.52498E+11,3.029478257,23660.14881,77200,49.98430745
2020,Czech Republic,CZE,2.45339E+11,-5.797813877,22931.2746,77200,13.51299505
2016,Denmark,DNK,3.13116E+11,3.245956985,54663.99837,40000,99.94813696
2017,Denmark,DNK,3.32121E+11,2.821736341,57610.09818,40000,102.9372843
2018,Denmark,DNK,3.56841E+11,1.989537315,61591.92887,40000,105.9408351
2019,Denmark,DNK,3.47561E+11,2.114664208,59775.7351,40000,103.5553096
2020,Denmark,DNK,3.56085E+11,-2.062124959,61063.31643,40000,88.89641208
2016,Djibouti,DJI,2603540257,6.652650372,2802.166204,23180,31.08569602
2017,Djibouti,DJI,2751445574,5.403099843,2914.358197,23180,26.26528751
2018,Djibouti,DJI,3012803457,8.407662666,3141.861711,23180,38.64402556
2019,Djibouti,DJI,3324615549,7.770497257,3414.916178,23180,36.52802553
2020,Djibouti,DJI,3384385217,0.5,3425.484176,23180,7.462836231
2016,Dominica,DMA,576229629.6,2.556494913,8080.968623,750,23.02174984
2017,Dominica,DMA,519837037,-6.79942797,7274.517731,750,-15.67879595
2018,Dominica,DMA,550622222.2,2.214305241,7687.462963,750,21.02995555
2019,Dominica,DMA,611537037,7.571391597,8516.280039,750,43.770571
2020,Dominica,DMA,504214814.8,-16.60491154,7003.859021,750,-55.32926057
2016,Dominican Republic,DOM,75704720190,6.659200263,7280.88361,48310,38.32484803
2017,Dominican Republic,DOM,79997975622,4.666704677,7609.353275,48310,30.87980847
2018,Dominican Republic,DOM,85555378043,6.982527585,8050.644076,48310,40.84810727
2019,Dominican Republic,DOM,88941299734,5.05216802,8282.117131,48310,33.49700859
2020,Dominican Republic,DOM,78844702329,-6.720239373,7268.19691,48310,-15.2094106
2016,Early-demographic dividend,EAR,1.03078E+13,4.677949164,3257.391915,33317975.04,86.91570623
2017,Early-demographic dividend,EAR,1.11376E+13,4.560163061,3473.462861,33317661,87.73375899
2018,Early-demographic dividend,EAR,1.12148E+13,3.669162677,3452.378585,33317702.39,84.22453705
2019,Early-demographic dividend,EAR,1.15273E+13,2.29739484,3503.439733,33317702.39,79.17526663
2020,Early-demographic dividend,EAR,1.06682E+13,-4.505560993,3201.652532,33317702.39,50.50459025
2016,East Asia & Pacific,EAS,2.27207E+13,4.658616904,9845.914175,24502823.4,97.87827165
2017,East Asia & Pacific,EAS,2.42685E+13,5.048255066,10442.8595,24502555,102.1490691
2018,East Asia & Pacific,EAS,2.64163E+13,4.730265273,11297.6018,24502428.8,104.6828977
2019,East Asia & Pacific,EAS,2.69815E+13,4.064048758,11478.03313,24502428.8,102.9490642
2020,East Asia & Pacific,EAS,2.70974E+13,-0.133318687,11477.79259,24502428.8,86.29162428
2016,East Asia & Pacific (excluding high income),EAP,1.35602E+13,6.578776494,6575.51412,16019614.9,76.86475291
2017,East Asia & Pacific (excluding high income),EAP,1.48193E+13,6.702441306,7131.631349,16019325.2,79.67725819
2018,East Asia & Pacific (excluding high income),EAP,1.6575E+13,6.515506328,7924.234301,16019326.9,82.18927598
