Country Name,Country Code,Year,Control of Corruption Score,Government Effectiveness Score,Political Stability Score,Regulatory Quality Score,Rule of Law Score,Free Speech Score
Costa Rica,CRI,2016.0,0.7442904,0.3551873,0.6614283,0.4074337,0.4660165,1.117966
Costa Rica,CRI,2017.0,0.5094244,0.3063277,0.6088256,0.3463587,0.4692508,1.121746
Costa Rica,CRI,2018.0,0.5527953,0.3762068,0.4694642,0.4885781,0.4810215,1.10845
Costa Rica,CRI,2019.0,0.7027699,0.4225595,0.4522929,0.4971444,0.5445495,1.096336
Costa Rica,CRI,2020.0,0.7761228,0.3622126,0.7615439,0.4498657,0.5699124,1.143007
Cote d'Ivoire,CIV,2016.0,-0.5299415,-0.6732535,-0.9075593,-0.3648906,-0.6447258,-0.3084423
Cote d'Ivoire,CIV,2017.0,-0.5267719,-0.7554985,-1.090237,-0.360639,-0.6314723,-0.2830979
Cote d'Ivoire,CIV,2018.0,-0.5038995,-0.5682684,-0.8986894,-0.2026825,-0.5763171,-0.2553864
Cote d'Ivoire,CIV,2019.0,-0.5397315,-0.4827835,-1.026046,-0.2433622,-0.5666268,-0.2450294
Cote d'Ivoire,CIV,2020.0,-0.5265628,-0.4806498,-0.9764128,-0.2758446,-0.5994768,-0.4831634
Croatia,HRV,2016.0,0.21198,0.5035605,0.6637695,0.3562783,0.3843882,0.5253699
Croatia,HRV,2017.0,0.1179555,0.6090569,0.6920319,0.4240429,0.3588388,0.4791637
Croatia,HRV,2018.0,0.0779362,0.5073917,0.8028065,0.5371523,0.352705,0.4375764
Croatia,HRV,2019.0,0.0820259,0.4592125,0.6946999,0.5906433,0.3953754,0.4553147
Croatia,HRV,2020.0,0.2007412,0.4377178,0.6074048,0.43394,0.29418,0.5801762
Cuba,CUB,2016.0,0.1692236,-0.1051888,0.6853639,-1.338703,-0.4425099,-1.560149
Cuba,CUB,2017.0,0.2678478,-0.1804782,0.6470563,-1.328484,-0.4303128,-1.552479
Cuba,CUB,2018.0,0.1663785,-0.2471846,0.6489246,-1.459466,-0.4442561,-1.460088
Cuba,CUB,2019.0,0.0437994,-0.1727885,0.6031231,-1.486811,-0.3226229,-1.440688
Cuba,CUB,2020.0,-0.1267346,-0.1677658,0.5962209,-1.504454,-0.2780778,-1.419531
Cyprus,CYP,2016.0,0.8266943,0.9605695,0.6042547,1.052626,0.7213519,1.04664
Cyprus,CYP,2017.0,0.7853153,0.9222018,0.5378655,1.032462,0.8882236,1.056237
Cyprus,CYP,2018.0,0.640687,0.9192417,0.491743,0.8727556,0.7535621,1.005624
Cyprus,CYP,2019.0,0.6306768,0.9921815,0.5573699,1.012434,0.7600086,1.048613
Cyprus,CYP,2020.0,0.3778925,0.8832101,0.2918284,1.002475,0.580854,0.9070898
Czech Republic,CZE,2016.0,0.5929416,1.044984,0.9761155,0.986401,1.020164,1.025371
Czech Republic,CZE,2017.0,0.6066105,1.071043,1.000036,1.235234,1.124164,0.8802063
Czech Republic,CZE,2018.0,0.5428039,0.9887083,1.031982,1.275545,1.055094,0.8127151
Czech Republic,CZE,2019.0,0.5652813,0.9553274,0.9438875,1.245235,1.052832,0.8357995
Czech Republic,CZE,2020.0,0.5850472,0.957015,0.9244586,1.241209,1.059881,0.9812194
Denmark,DNK,2016.0,2.250493,1.857509,0.8679155,1.575408,1.924276,1.541422
Denmark,DNK,2017.0,2.23999,1.787519,0.8684149,1.624285,1.847278,1.517764
Denmark,DNK,2018.0,2.196509,1.851263,0.9462506,1.636302,1.815461,1.561593
Denmark,DNK,2019.0,2.161119,1.910211,0.9956252,1.565141,1.876799,1.545238
Denmark,DNK,2020.0,2.270462,1.890869,0.9430326,1.790884,1.858852,1.520361
Djibouti,DJI,2016.0,-0.6533492,-0.9740394,-0.6264004,-0.7000202,-0.9761462,-1.370006
Djibouti,DJI,2017.0,-0.6429945,-1.02883,-0.7368587,-0.6394617,-0.9120428,-1.405831
Djibouti,DJI,2018.0,-0.7081219,-0.8953704,-0.1376155,-0.6987826,-0.9184133,-1.367919
Djibouti,DJI,2019.0,-0.8554918,-0.7134089,-0.3511495,-0.7714189,-0.9141684,-1.423265
