Year,Country Name,Country Code,Current GDP ($),GDP growth (annual %),GDP per capita ($),Gini index,%individuals using internet,Interest payments (% of expense),Interest payments (% of revenue),Land area (sq.km),Life expectancy at birth,Military expenditure (% of GDP)
2017,"Bahamas, The",BHS,12359700000,1.62501197597548,32376.5091722572,..,85,10.8983741237174,12.9334306789354,10010,73.554,..
2018,"Bahamas, The",BHS,12837800000,2.76704081044245,33290.028135413,..,..,14.0839944878982,15.3680168746622,10010,73.752,..
2019,"Bahamas, The",BHS,13164400000,0.702459096698348,33799.4176940891,..,..,13.3921127272772,13.5384600166593,10010,73.918,..
2018,Bahrain,BHR,37801462765.9574,2.13670134684136,24085.955988096,..,98.64467258,..,..,780,77.163,4.07429482993766
2016,Bahrain,BHR,32234973404.2553,3.55812811897778,22608.4525623673,..,97.9999807,..,..,779,76.899,4.67144086727827
2019,Bahrain,BHR,38652579787.234,2.14137678356339,23551.9300857404,..,99.70149256,..,..,780,77.292,4.05505441686102
2017,Bahrain,BHR,35473776595.7447,4.29094977756338,23742.9373424159,..,95.87813575,..,..,780,77.032,4.33877531046373
2020,Bahrain,BHR,34729228723.4043,-5.08518021318916,20409.9528047731,..,99.53951246,..,..,780,..,4.07439737467417
2020,Bangladesh,BGD,323056957972.312,3.5091358821393,1961.6137487886,..,..,..,..,130170,..,1.30186286205006
2019,Bangladesh,BGD,302571320445.75,8.1526841493979,1855.74009422319,..,12.9,..,..,130170,72.591,1.34890669342171
2016,Bangladesh,BGD,221415188000.475,7.11347821327269,1401.56463513179,32.4,9.2,20.2540176574744,18.4590815688377,130170,71.785,1.37232148233046
2018,Bangladesh,BGD,274038973437.275,7.86375358002958,1698.13208078712,..,11.5,..,..,130170,72.32,1.26399978490041
2017,Bangladesh,BGD,249710922462.309,7.28417442269364,1563.76781861826,..,10.3,..,..,130170,72.052,1.24025612590731
2017,Barbados,BRB,4978000000,0.475110679192298,17391.6689084614,..,81.76077839,..,..,430,78.981,..
2019,Barbados,BRB,5209000000,-0.0961355529131964,18148.4978451054,..,..,..,..,430,79.19,..
2016,Barbados,BRB,4830000000,2.47869868319133,16900.0482858522,..,79.54939789,22.5297990477897,25.6330743491592,430,78.888,..
2018,Barbados,BRB,5086500000,-0.580333154218167,17745.2553725928,..,..,..,..,430,79.081,..
2020,Barbados,BRB,4418000000,-18.9795097037672,15373.8547035017,..,..,..,..,430,..,..
2017,Belarus,BLR,54726595249.1849,2.53218350023035,5785.67067254068,25.4,74.43644541,6.05136298171952,5.38393529877477,202990,74.1292682926829,1.14628901484848
2016,Belarus,BLR,47722657820.6675,-2.52644643552364,5039.68188628499,25.3,71.11304576,6.19015532964718,5.69444863929591,202988,73.8268292682927,1.25351504491885
2020,Belarus,BLR,60258239055.5829,-0.900000000246891,6424.15217642722,..,85.08791245,..,..,202980,..,1.25428102951708
2018,Belarus,BLR,60031262269.3365,3.14919759374963,6360.06247301284,25.2,79.12988669,6.22833392670355,5.17258744119016,202980,74.1756097560976,1.18226172889567
2019,Belarus,BLR,64409647193.8044,1.40000000000001,6837.71782606351,25.3,82.78915209,5.61613418206675,4.95858653103866,202980,74.2268292682927,1.22616836312075
2020,Belgium,BEL,521861292586.616,-5.65965987018394,45159.3482229717,..,91.52423735,..,..,30280,..,1.08084225652653
2018,Belgium,BEL,543008499294.079,1.81920366405947,47519.5530968943,27.2,88.647343,4.71642865322013,4.7426044846826,30280,81.5951219512195,0.890644486309656
2016,Belgium,BEL,475739588764.759,1.26668640902095,41984.1030335609,27.6,86.51647666,5.8669536487301,6.25971728669762,30280,81.4390243902439,0.89470623618152
2019,Belgium,BEL,535288715239.999,2.14955968072559,46591.4916067396,..,90.27542981,4.36698123210688,4.56088283010615,30280,81.7463414634146,0.893042950353347
2017,Belgium,BEL,501522868356.441,1.6195802783878,44089.3100875118,27.4,87.67968082,5.24421998639004,5.38681014856361,30280,81.4926829268293,0.883680594960214
2020,Belize,BLZ,1636280797.08056,-14.0105321507761,4115.17700795622,..,..,..,..,22810,..,1.5748306024001
2019,Belize,BLZ,1982518540.6134,1.76279791284728,5078.80994441772,..,..,..,..,22810,74.623,1.33167104565641
2017,Belize,BLZ,1858529676.71857,1.81368203309692,4945.85769867226,..,47.0826258,10.335984849394,9.43943774137489,22810,74.365,1.25536491469368
2018,Belize,BLZ,1915899786.96407,2.90606973116134,5001.42215663433,..,..,..,..,22810,74.496,1.29466567099759
2016,Belize,BLZ,1789304087.78561,-0.0332336324360227,4856.97324853112,..,44.57574032,9.09629890120461,8.26430740147739,22810,74.219,1.22319223222864
2017,Benin,BEN,12701654743.2149,5.67155546944753,1136.59387178448,..,13.3,..,..,112760,61.174,0.920613124425981
2020,Benin,BEN,15651545331.5404,3.84879240030133,1291.04097215441,..,..,..,..,112760,..,0.47063491684139
