,Year,Country Name,Country Code,GDP (current $),"Compulsory education, duration (years)","Current education expenditure, primary (% of total expenditure in primary public institutions)","Current education expenditure, secondary (% of total expenditure in secondary public institutions)","Current education expenditure, tertiary (% of total expenditure in tertiary public institutions)","Current education expenditure, total (% of total expenditure in public institutions)","Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)","Educational attainment, at least completed primary, population 25+ years, total (%)","Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)","Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)",Expenditure on primary education (% of government expenditure on education),Expenditure on secondary education (% of government expenditure on education),Expenditure on tertiary education (% of government expenditure on education),"Government expenditure on education, total (% of GDP)","Government expenditure on education, total (% of government expenditure)",Age
69,2020,Australia,AUS,1327836171068.51,10.0,86.70040130615232,87.35533142089838,86.3501892089844,0.0,35.0234107971191,94.5065307617188,51.5605506896973,0.0,46.4523887634277,80.0530319213867,9.39603996276855,1.57927000522614,32.99107,31.27629,26.82461,4.9390001296997195,13.156570434570401,4
70,2016,Austria,AUT,395568644341.038,10.0,93.0493469238281,97.3751907348633,90.4238662719727,93.7537612915039,13.4557199478149,0.0,29.9815807342529,0.0,27.8241901397705,79.3689804077148,10.9914598464966,0.816139996051788,16.60016,39.62838,32.48871,5.4796199798584,10.9538497924805,0
71,2017,Austria,AUT,416230497429.163,13.0,91.6796112060547,96.6040878295898,91.4032211303711,93.3056716918945,14.2486295700073,0.0,30.6283702850342,0.0,28.4334697723389,79.6625823974609,11.400839805603,0.942659974098206,16.60016,39.62838,32.48871,5.3718900680542,10.9303102493286,1
72,2018,Austria,AUT,454945881027.378,13.0,91.1173477172852,96.7398681640625,90.1958389282227,92.8928527832031,14.727660179138166,0.0,31.4058348337809,0.0,29.187536239624034,80.23902638753253,11.7122399012248,0.954600036144256,16.60016,39.62838,32.48871,5.22535991668701,10.7277002334595,2
73,2019,Austria,AUT,445011872704.47,13.0,90.15134811401376,96.42220687866211,90.0818252563477,92.46239852905269,15.3636302947998,0.0,32.1179618835449,0.0,29.8692092895508,80.6740493774414,12.0726299285889,1.02383005619049,16.60016,39.62838,32.48871,5.098229885101315,10.614625453949,3
74,2020,Austria,AUT,433258467676.515,13.0,89.1853485107423,96.1045455932617,89.9678115844727,92.03194427490229,15.999600410461433,0.0,32.8300889333089,0.0,30.550882339477564,81.10907236735028,12.433019955952998,1.093060076236724,16.60016,39.62838,32.48871,4.97109985351562,10.501550674438498,4
75,2016,Azerbaijan,AZE,37867518957.1975,10.0,99.9070892333984,98.3368606567383,98.4616317749023,98.0477066040039,15.7419004440308,95.6413116455078,30.0917091369629,98.4961471557617,25.4651203155518,88.6644515991211,0.0,0.0,0.0,0.0,17.08263,2.90340995788574,8.20689964294434,0
76,2017,Azerbaijan,AZE,40865558912.3867,10.0,99.9070892333984,98.8714294433594,99.0771102905273,98.7050704956055,15.71702003479,95.5160903930664,30.0558700561523,98.4994583129883,25.4286708831787,88.5012283325195,0.0,0.0,0.0,0.0,16.40216,2.47381997108459,6.95039987564087,1
77,2018,Azerbaijan,AZE,47112941176.4706,10.0,99.9070892333984,99.4059982299805,96.3908996582031,98.6565628051758,15.728653271993,95.559809366862,30.043996175130232,98.50605010986331,25.422573725382534,88.50120290120442,0.0,0.0,0.0,0.0,15.721689999999995,2.45543003082275,7.41052007675171,2
78,2019,Azerbaijan,AZE,48174235294.1176,10.0,99.9070892333984,99.9405670166016,93.2308883666992,98.1351928710938,15.7220296859741,95.5190582275391,30.0201396942139,98.5110015869141,25.4013004302979,88.4195785522461,0.0,0.0,0.0,0.0,15.041219999999992,2.68108010292053,8.07215023040771,3
79,2020,Azerbaijan,AZE,42607176470.5882,10.0,99.9070892333984,100.47513580322271,91.4873072306315,98.16435496012377,15.7154060999552,95.47830708821621,29.996283213297566,98.5159530639649,25.38002713521327,88.33795420328777,0.0,0.0,0.0,0.0,14.360749999999989,2.60697015126546,10.5025300979614,4
80,2016,"Bahamas, The",BHS,11992600000.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.32517004013062,11.886079788208,0
81,2017,"Bahamas, The",BHS,12359700000.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.41849994659424,10.5762195587158,1
82,2018,"Bahamas, The",BHS,12837800000.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.30952000617981,11.4196796417236,2
83,2019,"Bahamas, The",BHS,13164400000.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.39893007278442,11.2660703659058,3
84,2020,"Bahamas, The",BHS,9907500000.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.51087999343872,11.2443103790283,4
