,Year,Country Name,Country Code,"Compulsory education, duration (years)","Current education expenditure, secondary (% of total expenditure in secondary public institutions)","Government expenditure on education, total (% of GDP)","Government expenditure on education, total (% of government expenditure)",Weighted World Education
76,2017,Azerbaijan,AZE,0.5882352941176471,0.7777334476953445,0.1830742404695977,0.14808903756809003,4.509584678542491
77,2018,Azerbaijan,AZE,0.5882352941176471,0.7819384240751723,0.18171329893582813,0.15789261131453686,4.553093422233603
78,2019,Azerbaijan,AZE,0.5882352941176471,0.7861434004550003,0.19841245895720158,0.17198966679825609,4.6456028142468195
79,2020,Azerbaijan,AZE,0.5882352941176471,0.7903483768348282,0.19292797614556753,0.22377267525109015,4.806802779501365
80,2016,"Bahamas, The",BHS,0.7058823529411765,0.0,0.1720734507907413,0.25325134492797063,1.809783289306571
81,2017,"Bahamas, The",BHS,0.7058823529411765,0.0,0.17898030009208102,0.2253427433791523,1.7398711832627956
82,2018,"Bahamas, The",BHS,0.7058823529411765,0.0,0.17091527513028212,0.2433139672158541,1.7776548048493033
83,2019,"Bahamas, The",BHS,0.7058823529411765,0.0,0.17753203796076353,0.24004108360852183,1.7810696796882692
84,2020,"Bahamas, The",BHS,0.7058823529411765,0.0,0.18581685534197015,0.23957745337546474,1.796248423751511
85,2016,Bahrain,BHR,0.5294117647058824,0.0,0.1720253530035282,0.15391531129446923,1.3352084045963464
86,2017,Bahrain,BHR,0.5294117647058824,0.0,0.1720253530035282,0.15391531129446923,1.3352084045963464
87,2018,Bahrain,BHR,0.5294117647058824,0.0,0.1720253530035282,0.15391531129446923,1.3352084045963464
88,2019,Bahrain,BHR,0.5294117647058824,0.0,0.1720253530035282,0.15391531129446923,1.3352084045963464
89,2020,Bahrain,BHR,0.5294117647058824,0.0,0.1720253530035282,0.15391531129446923,1.3352084045963464
90,2016,Bangladesh,BGD,0.29411764705882354,0.5728221226635789,0.11363713596626866,0.24330545334165438,3.5425967696706397
91,2017,Bangladesh,BGD,0.29411764705882354,0.5420373109660065,0.10847605166593931,0.3420762083991587,3.705447619452204
92,2018,Bangladesh,BGD,0.29411764705882354,0.511252499268434,0.10331496736560998,0.24889203814183092,3.292433693289272
93,2019,Bangladesh,BGD,0.29411764705882354,0.4444292509888454,0.09815388306528064,0.19759161802379488,2.860917271216151
94,2020,Bangladesh,BGD,0.29411764705882354,0.44968287587328915,0.0929927987649513,0.25237075837364964,3.0359470232028314
95,2016,Barbados,BRB,0.6470588235294118,0.7810247762751164,0.3483636977522345,0.2847076920801146,5.32200840037469
96,2017,Barbados,BRB,0.6470588235294118,0.774289144322985,0.3231325443037784,0.2744102526714674,5.213711247443311
97,2018,Barbados,BRB,0.6470588235294118,0.7675535123708538,0.40176102831445804,0.3485446802022248,5.566428970248418
98,2019,Barbados,BRB,0.6470588235294118,0.7561709635239445,0.23711023412930038,0.22965242992471957,4.83492043565795
99,2020,Barbados,BRB,0.6470588235294118,0.7540822484665913,0.3178619019721218,0.34394032013955134,5.330932581758675
100,2016,Belarus,BLR,0.5294117647058824,0.7571878348011474,0.3660678121632846,0.2590616475204063,5.06748367079826
101,2017,Belarus,BLR,0.5294117647058824,0.746510686390513,0.3548516763755028,0.2616804258188796,5.010199140475579
102,2018,Belarus,BLR,0.5294117647058824,0.7358335379798785,0.39822730541374946,0.2826109219635765,5.117033293343624
103,2019,Belarus,BLR,0.5294117647058824,0.7251563895692439,0.36850477847810703,0.28193145790769053,5.012841253662144
104,2020,Belarus,BLR,0.5294117647058824,0.7144792411586093,0.36650443279511047,0.27478226223919333,4.94468438164812
105,2016,Belgium,BEL,0.7058823529411765,0.7489216747457049,0.47819822230860715,0.2591931147425607,5.435544840768893
106,2017,Belgium,BEL,0.7058823529411765,0.7573373888157123,0.4755052049710312,0.2631510096316909,5.475695347041161
107,2018,Belgium,BEL,0.7058823529411765,0.7604205900590033,0.4719011527306942,0.2604478444130346,5.4727105518776815
