,Country Name,Country Code,Year,Control of Corruption Score,Government Effectiveness Score,Political Stability Score,Regulatory Quality Score,Rule of Law Score,Free Speech Score,Weighted Governance
98,Belgium,BEL,2019,1.485347,1.148132,0.4737775,1.291109,1.37409,1.310243,24.001293
99,Belgium,BEL,2020,1.478052,1.124299,0.5905626,1.350718,1.36892,1.283182,24.512853399999997
100,Belize,BLZ,2016,-0.2427203,-0.6760404,0.0606221,-0.5123594,-0.8639369,0.57083,-2.271827300000001
101,Belize,BLZ,2017,-0.298598,-0.7029624,0.0357257,-0.5466834,-0.8768259,0.5706139,-2.7497399000000002
102,Belize,BLZ,2018,-0.1370772,-0.5964406,0.0031797,-0.6500763,-0.8238621,0.4223617,-3.5908308
103,Belize,BLZ,2019,-0.1957777,-0.6776266,0.0630389,-0.5444132,-0.7752398,0.5056173,-2.6358816
104,Belize,BLZ,2020,-0.1919857,-0.6464335,0.5117432,-0.5378277,-0.7596992,0.5281408,-0.5562920000000009
105,Benin,BEN,2016,-0.5133145,-0.5643299,-0.0020272,-0.5278944,-0.6087622,0.4098547,-3.5168334999999997
106,Benin,BEN,2017,-0.561516,-0.6468335,0.0308955,-0.4710597,-0.6260697,0.3822365,-3.6278996999999995
107,Benin,BEN,2018,-0.3887573,-0.5638022,-0.1411756,-0.3385929,-0.6733479,0.2402929,-3.9581786
108,Benin,BEN,2019,-0.3385691,-0.4411183,-0.412668,-0.3760342,-0.6637715,0.0680906,-5.786563999999999
109,Benin,BEN,2020,-0.0392984,-0.2638812,-0.4397532,-0.3722045,-0.7278787,-0.0771749,-5.681203799999999
110,Bermuda,BMU,2016,1.228804,1.328458,0.9996701,0.8714429,0.8654476,0.0,15.664324500000001
111,Bermuda,BMU,2017,1.245126,1.389179,1.001911,0.844159,0.8736399,0.0,15.7598679
112,Bermuda,BMU,2018,1.239041,1.386165,1.152475,0.8234454,0.876514,0.0,16.240218
113,Bermuda,BMU,2019,1.234696,1.361957,1.065074,0.8463107,0.8455459,0.0,15.8926584
114,Bermuda,BMU,2020,1.314374,1.543409,1.014357,0.9409034,0.6886193,0.0,16.7095393
115,Bhutan,BTN,2016,1.126535,0.5002068,1.123297,-0.6651375,0.4934784,-0.0259183,5.2591595
116,Bhutan,BTN,2017,1.553321,0.5571043,1.11713,-0.3313459,0.611513,0.0109287,8.2668306
117,Bhutan,BTN,2018,1.640953,0.3601472,1.093906,-0.3448173,0.5493638,0.0348506,7.7723525
118,Bhutan,BTN,2019,1.61838,0.3124391,1.082096,-0.3273374,0.5903587,0.074758,7.904681000000001
119,Bhutan,BTN,2020,1.648439,0.3731863,1.021578,-0.3105174,0.5941438,0.1519855,8.4562187
120,Bolivia,BOL,2016,-0.7242584,-0.567202,-0.2488664,-0.9240948,-1.200806,-0.036425,-10.1854184
121,Bolivia,BOL,2017,-0.6587374,-0.3853793,-0.2780288,-0.8970232,-1.20487,-0.0246515,-9.4236229
122,Bolivia,BOL,2018,-0.6176781,-0.3178463,-0.2871185,-0.9072621,-1.145215,-0.0648267,-9.407854799999999
123,Bolivia,BOL,2019,-0.7382592,-0.6993221,-0.7300857,-0.9934214,-1.121446,-0.1143257,-13.2693347
124,Bolivia,BOL,2020,-0.7563663,-0.5620455,-0.4676746,-1.023997,-1.151606,-0.0706577,-11.765104699999998
125,Bosnia and Herzegovina,BIH,2016,-0.4563362,-0.3936032,-0.3978388,-0.1666478,-0.2168469,-0.1312022,-5.5221363
126,Bosnia and Herzegovina,BIH,2017,-0.5174395,-0.4826643,-0.3482373,-0.1488003,-0.2151614,-0.205798,-6.069772
127,Bosnia and Herzegovina,BIH,2018,-0.5669701,-0.6150292,-0.3955997,-0.2157231,-0.2342353,-0.2659763,-7.4701352
128,Bosnia and Herzegovina,BIH,2019,-0.6089352,-0.6344742,-0.4187543,-0.1947562,-0.2334548,-0.2430984,-7.4621363999999994
129,Bosnia and Herzegovina,BIH,2020,-0.6038762,-0.9751914,-0.5145728,-0.2324903,-0.3060572,-0.323984,-9.6040305
130,Botswana,BWA,2016,0.9299284,0.5295248,0.99456,0.5284874,0.5337085,0.3967459,12.9832921
131,Botswana,BWA,2017,0.7879916,0.4318962,1.022508,0.464981,0.5090616,0.3884281,12.126239
132,Botswana,BWA,2018,0.7478711,0.3329532,0.9709879,0.4491354,0.46531,0.4475507,11.7748446
133,Botswana,BWA,2019,0.6905257,0.4282575,1.111055,0.3692842,0.4989015,0.4999618,12.455137200000003
134,Botswana,BWA,2020,0.6290125,0.2567992,1.088047,0.4159909,0.4405316,0.4944413,11.8677445
135,Brazil,BRA,2016,-0.3813246,-0.1739778,-0.3772054,-0.2073155,-0.1573322,0.4518494,-1.2762175
136,Brazil,BRA,2017,-0.4959317,-0.2328486,-0.4738646,-0.1500317,-0.2469499,0.4480156,-1.8948823999999997
137,Brazil,BRA,2018,-0.398966,-0.4497755,-0.4404235,-0.3271396,-0.2524796,0.3602512,-3.6356229
138,Brazil,BRA,2019,-0.3365895,-0.1869027,-0.7137882,-0.1784509,-0.1806352,0.2974658,-3.3771348000000003
139,Brazil,BRA,2020,-0.3424238,-0.4470313,-0.4216979,-0.1616535,-0.1758137,0.2610505,-3.1305113
140,Brunei Darussalam,BRN,2016,0.5684822,1.083784,1.154172,0.5933974,0.5616808,-0.9010094,7.127615799999999
141,Brunei Darussalam,BRN,2017,0.7151719,1.146735,1.160305,0.7176718,0.6497172,-0.9486977,8.0576588
142,Brunei Darussalam,BRN,2018,0.7959561,1.251249,1.24136,0.6864314,0.6293485,-0.8626922,9.1964515
143,Brunei Darussalam,BRN,2019,0.8022829,1.317982,1.108799,0.6345204,0.6143432,-0.9679027,7.9732368000000005
144,Brunei Darussalam,BRN,2020,1.28122,1.438427,1.123706,0.9141998,0.9311345,-0.9322214,11.281350100000001
145,Bulgaria,BGR,2016,-0.2129944,0.2084756,0.0773333,0.6585177,-0.1051676,0.4021857,6.109306300000001
146,Bulgaria,BGR,2017,-0.1534974,0.1928596,0.3320499,0.6258183,-0.0883203,0.4298145,7.2194418
147,Bulgaria,BGR,2018,-0.1452328,0.2030701,0.4562779,0.5865343,-0.0698142,0.3566663,7.146711399999999
148,Bulgaria,BGR,2019,-0.1399162,0.2633897,0.578861,0.5311002,-0.0063268,0.3556397,7.6087931
149,Bulgaria,BGR,2020,-0.2723222,-0.0722199,0.472481,0.5189232,-0.0870779,0.2600734,5.1965984
150,Burkina Faso,BFA,2016,-0.1479759,-0.5643083,-0.8673759,-0.3973829,-0.4414265,0.0144986,-7.799729699999999
151,Burkina Faso,BFA,2017,-0.1169276,-0.5780835,-0.9269773,-0.4423672,-0.4012339,0.0655461,-7.895808199999999
152,Burkina Faso,BFA,2018,-0.1132987,-0.5778441,-1.059287,-0.3727933,-0.4453091,-0.0682887,-8.916285499999999
153,Burkina Faso,BFA,2019,-0.2000552,-0.7587574,-1.302387,-0.3765482,-0.4261681,-0.2027513,-11.4113475
154,Burkina Faso,BFA,2020,-0.1011696,-0.6695253,-1.551598,-0.4172661,-0.4181253,-0.1711518,-11.9486737
155,Burundi,BDI,2016,-1.245538,-1.441691,-1.970721,-0.8252589,-1.460521,-1.555504,-29.6188725
156,Burundi,BDI,2017,-1.279798,-1.337151,-2.007869,-0.8344458,-1.390451,-1.575757,-29.619746999999997
157,Burundi,BDI,2018,-1.436725,-1.414782,-1.571772,-0.9766567,-1.493813,-1.672381,-29.8162665
158,Burundi,BDI,2019,-1.457849,-1.326445,-1.615159,-0.9489731,-1.432129,-1.723487,-29.873585499999997
159,Burundi,BDI,2020,-1.52695,-1.259296,-1.411315,-1.01885,-1.316482,-1.53803,-28.11596
160,Cabo Verde,CPV,2016,0.8689511,0.1248046,0.8862156,-0.2960399,0.3474011,0.9791626,10.3993556
161,Cabo Verde,CPV,2017,0.8230366,0.1633043,0.7746384,-0.2038071,0.4034872,0.9681481,10.42788
162,Cabo Verde,CPV,2018,0.7616211,0.320989,0.8458232,-0.2403039,0.4441875,0.9661335,10.908971000000001
163,Cabo Verde,CPV,2019,0.8325423,0.292097,0.8739426,-0.2246151,0.5158916,0.9407284,11.074332499999999
164,Cabo Verde,CPV,2020,0.8279572,0.2471965,0.8807942,-0.0660532,0.4879067,0.917582,11.5838134
165,Cambodia,KHM,2016,-1.272752,-0.6942337,0.2110379,-0.4652204,-1.063893,-1.105392,-13.806400499999999
166,Cambodia,KHM,2017,-1.289828,-0.659631,0.091222,-0.5016114,-1.053886,-1.154714,-14.683887999999998
167,Cambodia,KHM,2018,-1.311975,-0.5602662,0.1030418,-0.5016222,-1.112072,-1.236658,-14.932712399999998
168,Cambodia,KHM,2019,-1.279862,-0.58005,-0.0894939,-0.5689112,-0.9357082,-1.220296,-15.7598898
169,Cambodia,KHM,2020,-1.231246,-0.4194071,-0.2358826,-0.6164084,-0.9458001,-1.358499,-16.843079799999998
170,Cameroon,CMR,2016,-1.154283,-0.7639731,-1.062137,-0.7898978,-1.036228,-1.030126,-20.015506300000002
171,Cameroon,CMR,2017,-1.200322,-0.8107689,-1.095843,-0.8213113,-1.02993,-1.050992,-20.6587612
172,Cameroon,CMR,2018,-1.149803,-0.7988625,-1.404168,-0.798317,-1.077694,-1.132868,-22.1793525
173,Cameroon,CMR,2019,-1.210814,-0.8121258,-1.559217,-0.8267207,-1.118981,-1.212373,-23.621695900000002
174,Cameroon,CMR,2020,-1.131269,-0.8831259,-1.527164,-0.8171073,-1.146446,-1.214586,-23.5400702
175,Canada,CAN,2016,1.989884,1.780962,1.256059,1.73882,1.841268,1.445155,33.553188
176,Canada,CAN,2017,1.927651,1.857114,1.102063,1.889669,1.806023,1.477724,33.955608000000005
177,Canada,CAN,2018,1.827885,1.714916,0.9791259,1.706076,1.756561,1.490146,31.944838599999997
178,Canada,CAN,2019,1.767164,1.731293,1.016768,1.716236,1.760273,1.431915,31.728222
179,Canada,CAN,2020,1.597707,1.644323,1.109246,1.595805,1.655119,1.476175,31.056561
180,Cayman Islands,CYM,2016,0.5290577,1.181818,1.168496,0.7873485,0.7974545,0.4749393,16.8613862
181,Cayman Islands,CYM,2017,0.5292489,1.228924,1.190801,0.7555286,0.7796382,0.485479,16.978629
182,Cayman Islands,CYM,2018,0.4971413,1.202872,1.138934,0.9759164,0.7745451,0.4632958,17.592536499999998
183,Cayman Islands,CYM,2019,0.4666337,1.169075,1.433294,0.9828503,0.7691198,0.4697495,18.675536699999995
184,Cayman Islands,CYM,2020,0.4731022,1.129532,1.49174,1.054463,0.7685181,0.5009385,19.3482245
185,Central African Republic,CAF,2016,-1.279835,-1.771658,-1.789267,-1.427307,-1.81683,-1.082307,-30.478918999999998
186,Central African Republic,CAF,2017,-1.174239,-1.758346,-2.006543,-1.478067,-1.723307,-1.107815,-31.410220000000002
187,Central African Republic,CAF,2018,-1.227124,-1.713924,-2.183386,-1.369948,-1.683269,-1.20836,-32.112733
188,Central African Republic,CAF,2019,-1.228475,-1.746933,-2.138272,-1.372842,-1.728578,-1.219375,-32.159875
